audit verb=start args=["build-pmars-njcdfxu-verifier"] uid=1000 gid=1000 persona=cella-machine host_ns=1789985081958184999
audit verb=gateway args=["build-pmars-njcdfxu-verifier", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789985082045490632
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985082053558080
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985082053765420
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985082053810294
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985082053858745
audit verb=release args=["0000000010c0708bb60ce1878c5efe79"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086457348228
audit verb=release args=["00000000115a7daaad91131e355c6689"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086477117400
audit verb=release args=["00000000115b7081bedae05e80e2a901"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086478183011
audit verb=release args=["00000000116f78b1839ae2c17d0ad3f7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086497781831
audit verb=release args=["00000000117071eb89789d423935bc60"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086499607229
audit verb=release args=["0000000011817ed4baacf9bf30b30869"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086516471124
audit verb=release args=["0000000011867995a72c67c517bf2af9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086521484307
audit verb=release args=["000000001196709280391426ba64a1ce"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086537309202
audit verb=release args=["000000001197736faae71b315df7a351"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086538232896
audit verb=release args=["0000000011a975749ecf26c87e388149"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985086556275274
audit verb=release args=["00000000138b7664bcd8ddd830774d16"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087038726310
audit verb=release args=["00000000138c7b1cbf97db80ac1f79c1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087039515452
audit verb=release args=["0000000013a27064be1e35edfca51831"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087061348488
audit verb=release args=["0000000014f875c29d735ad00acc619e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087403357096
audit verb=release args=["0000000014f978579c565ce167b43c07"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087404458434
audit verb=release args=["00000000150b7578968dc10e7f5e27b5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087421971789
audit verb=release args=["00000000166375038e6576d83042dfe4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087766021970
audit verb=release args=["00000000166c7df28995c5b9d53e6650"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087775076963
audit verb=release args=["00000000167e724c8dd4bbe081d31cdd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087793049720
audit verb=release args=["00000000167f7de0b2a8d91594c9f5ab"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985087793800820
audit verb=release args=["000000001eb37004a45f303c6f034f20"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089895402550
audit verb=release args=["000000001eca75cd847f69b13b2ff589"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089917568470
audit verb=release args=["000000001ecb7e939ec4dbd46a07c55b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089918483338
audit verb=release args=["000000001edb7a0f97f90a3904adecee"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089934612443
audit verb=release args=["000000001edc7125a167554866140da6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089935527572
audit verb=release args=["000000001ee37ec2984c853c1a6e0ac6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089942202225
audit verb=release args=["000000001ef67f74be95c16d89044681"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089961548982
audit verb=release args=["000000001f037a919786e349a81a6be6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089973914461
audit verb=release args=["000000001f03710895c2f8cb48d521dd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089974849737
audit verb=release args=["000000001f06733a96a5cf186ed80514"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089977202554
audit verb=release args=["000000001f157dd2af2ba6c70c01217f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985089992512533
audit verb=release args=["000000001f3e7d3990a4c2c1d541690b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985090034284638
audit verb=release args=["00000000353f705b9c9a5ed535477b45"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095666153234
audit verb=release args=["000000003540738281339e9b9a8c0ec8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095666932006
audit verb=release args=["0000000035407ed69c032443ef824048"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095667746576
audit verb=release args=["0000000035537a6f960a28ee60239b3c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095686776629
audit verb=release args=["0000000035557c32aa60cab244b46173"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095687773811
audit verb=release args=["0000000035627e639e03c88cfe91fa09"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095701205662
audit verb=release args=["0000000035637345a588d4196eba6acd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095701814575
audit verb=release args=["000000003564726c9df5b386d308e97a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095702837917
audit verb=release args=["0000000035757c14b78d82a4c1d7e0af"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095719926754
audit verb=release args=["0000000035757943805634f504410b02"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095720680529
audit verb=release args=["0000000035767c389a994483c4234234"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095721574208
audit verb=release args=["0000000035857cb39b46849ae3a4adf8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095736550929
audit verb=release args=["0000000035af76b5b0c2365f6dce369c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985095778475080
audit verb=release args=["000000004d95719bb87419f5d76b3f57"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101896316305
audit verb=release args=["000000004d967dcd9d6a06f6f554c827"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101897343374
audit verb=release args=["000000004daa776087bd76b08123109a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101917549816
audit verb=release args=["000000004dab7e8cb735f9a320d929ba"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101918820612
audit verb=release args=["000000004db57c6cb6953489bbaec484"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101927804380
audit verb=release args=["000000004db575449663048c45b20709"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101929312392
audit verb=release args=["000000004dbf7e9d92217a513b2b42ff"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101938380900
audit verb=release args=["000000004dc07326b971029b51338c94"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101939419991
audit verb=release args=["000000004dce753cb199ee7fdb7b966a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101953069621
audit verb=release args=["000000004dcf71e7b7580bfc3a211c80"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101954343443
audit verb=release args=["000000004dd678dd85e0adde6c027689"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101961049815
audit verb=release args=["000000004dd7773e9ad4d4f8c7229692"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101962022151
audit verb=release args=["000000004de77dc6be2285f9f0ee8476"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101977880288
audit verb=release args=["000000004de77b98b65e17e806a440fe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101979147748
audit verb=release args=["000000004df17ef0ba1df932416d438d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101988329619
audit verb=release args=["000000004df27712a46a3b42aab094bc"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101989774512
audit verb=release args=["000000004dfb73b6b2563da4cddaabd5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101998691215
audit verb=release args=["000000004dfc765cae4e621201e0d325"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985101999460459
audit verb=release args=["000000004e087bc0b8bc156e6f0d70c7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102011211815
audit verb=release args=["000000004e097c2ab95dc6d577d93e54"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102011937828
audit verb=release args=["000000004e0e79f9a9e45ecb2fd77f9c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102017324312
audit verb=release args=["000000004e0f7c8e8927a63a970b7bc6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102018077245
audit verb=release args=["000000004e147b24931b14f8a47a64e5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102023733686
audit verb=release args=["000000004e157e1aa81914281a0f3730"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102024521476
audit verb=release args=["000000004e2374449211885acd762d12"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102038316850
audit verb=release args=["000000004e2475278b963a2bd7ce9c2a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102039136038
audit verb=release args=["000000004e297a4fae6de2a766a98ffe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102044431000
audit verb=release args=["000000004e2a786f9c2ce2e7fb8c1d40"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102045250790
audit verb=release args=["000000004e2f7589abfa88e474f0f8ba"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102050732913
audit verb=release args=["000000004e307a458508f6bd47d10018"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102051457493
audit verb=release args=["000000004e3e7d5a8f0e5f200af9b5f7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102065526150
audit verb=release args=["000000004e3f787b8e299ec82d60ce3f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102066365757
audit verb=release args=["000000004e427ad28bf57846e0735b6e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102069643421
audit verb=release args=["000000004e447f319a7a0669d8ec3d1f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102071464881
audit verb=release args=["000000004e4b7fbca72ee3df9d234bc6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102078062459
audit verb=release args=["000000004e4c77ceae10f5b689b38401"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102078800976
audit verb=release args=["000000004e4d7a269015840addf074b3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102079979559
audit verb=release args=["000000004e4f762d8fb5c6f2b0fce9c4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102082760311
audit verb=release args=["000000004e57778da2c8d3a751611cbc"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102089965159
audit verb=release args=["000000004e6475708fb79299820c4d21"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102103206893
audit verb=release args=["000000004e6574a68bf495ddb3f1edb4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102104126821
audit verb=release args=["000000004e7673c7b728c942285eb61c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102120983131
audit verb=release args=["000000004e767b439bf9b0c79fafbca9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102121621120
audit verb=release args=["000000004e7778ec9072bd9c755522fa"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102122630345
audit verb=release args=["000000004e83711bbf1623391de24490"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102134085284
audit verb=release args=["000000004e897c27869851bc11294237"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102140599044
audit verb=release args=["000000004e9a75b6a84d3fc71efa43de"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102157360066
audit verb=release args=["000000004e9b75b896135ff994e1b2fa"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102158978676
audit verb=release args=["000000004eac757e96f75b69637a741a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102175797917
audit verb=release args=["000000004eae7424aecbc0d20f3f553d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102177060719
audit verb=release args=["000000004eaf7293a2f426798981a795"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102178968280
audit verb=release args=["000000004ebf713ba236eb7a8ed322fb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102194493642
audit verb=release args=["000000004ec0781cb618bd0ca6f9014c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102195328109
audit verb=release args=["000000004ec17366811b5fb0698e8e2f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102196524164
audit verb=release args=["000000004ed071d6859936fe3077c956"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102211104012
audit verb=release args=["000000004ef97fc0acf8ca962c60c8fd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985102252509257
audit verb=release args=["0000000066d27a538369bef6b568779e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108357457153
audit verb=release args=["0000000066d37e54a5d80aa7fa722137"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108358299505
audit verb=release args=["0000000066d870a59045b73bc431e4f5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108363382029
audit verb=release args=["0000000066d973de9a17ec0010a48854"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108364048579
audit verb=release args=["0000000066da7c15a8a8bfd1e39db0c2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108364836068
audit verb=release args=["0000000066ef7c0a8ba6890df0879d6f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985108386699792
