audit verb=start args=["build-pmars-njcdfxu"] uid=1000 gid=1000 persona=cella-machine host_ns=1789984830298055361
audit verb=gateway args=["build-pmars-njcdfxu", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789984830381570567
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984830388830810
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984830389041445
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984830389086570
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984830389126495
audit verb=release args=["00000000165c7a2ba214aa1173cdf5b3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836193507708
audit verb=release args=["00000000173a7316902c52c6fe4d1c62"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836315205509
audit verb=release args=["00000000173a7a67bec4426c562b8239"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836315872171
audit verb=release args=["00000000174273498f55b32d7ee6d0cd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836323439240
audit verb=release args=["0000000017477397a9b0ad73b3dcb4f9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836328336566
audit verb=release args=["00000000174e7c5bb9dad5cf3871a57c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836335991860
audit verb=release args=["00000000174f733788399b3f68c62a55"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836336744904
audit verb=release args=["00000000176573d78592186f37d1120e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836358394575
audit verb=release args=["00000000176b74e5b2cdeba7a3b5db37"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836365193972
audit verb=release args=["0000000017767288b8c446cf6f411438"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836375390148
audit verb=release args=["0000000017777280a389d9e5f08aa09d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836376252697
audit verb=release args=["000000001779727abb490cd10f796f2d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836378444543
audit verb=release args=["00000000177a7347b48d1749fcdd79b9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836379233384
audit verb=release args=["00000000177a78bf8e33624a11b12ea8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836379997328
audit verb=release args=["000000001780752b999e2924cba39e0d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836385807699
audit verb=release args=["00000000179577ed82c0feaccb8c3fbb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836406245915
audit verb=release args=["00000000179b757ebfad7fbcaf28855c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984836412792137
audit verb=release args=["0000000032977335899052e9edd4258c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843320363686
audit verb=release args=["0000000032c073ca9be40078591c6cd4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843361445906
audit verb=release args=["0000000034b6781bbce27c8e51655307"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843863583938
audit verb=release args=["0000000034b77d1e988c6d2dbe53a42b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843864354114
audit verb=release args=["0000000034bc763690c50f02cd82e894"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843869756288
audit verb=release args=["0000000034bd782480bed78e11f19faf"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843870330225
audit verb=release args=["0000000034be77bdbc765cba37476302"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843871420763
audit verb=release args=["0000000034c77c4f8f8622da0eb866b7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843880366621
audit verb=release args=["0000000034c873d68936605d15f036b1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843881434406
audit verb=release args=["0000000034df77499c360d1558407005"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843905367575
audit verb=release args=["0000000034e874c8901625bdd52f9f90"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843913557694
audit verb=release args=["0000000034e977db8b4d01ab1dbf6684"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843914392070
audit verb=release args=["0000000034ee7a279e41746434ad7563"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843919731386
audit verb=release args=["0000000034ef7403af807bd0f8abccbc"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843920425239
audit verb=release args=["0000000034f57db98f9e655c6cfad3a7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843926826378
audit verb=release args=["0000000034fb7807853ac4a5feae87c4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843932216951
audit verb=release args=["0000000034fb77f9859f4e3c6b450c85"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843932896596
audit verb=release args=["0000000034fc7edab2811695b6210b9c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843933805022
audit verb=release args=["0000000034fd764e9745646db5ab8132"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843934488015
audit verb=release args=["0000000034fe74ec89ed76e5198b8cc1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843935204811
audit verb=release args=["00000000350178f0ae3d1ab8ea78b26c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843938448060
audit verb=release args=["0000000035107146ba8e3ae249f2e12b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843953644234
audit verb=release args=["000000003518717e9a59f83c5277b2de"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984843961438539
audit verb=release args=["00000000377e71fab044b1c83a820c8e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984844575503046
audit verb=release args=["0000000037a87b198f2dda90fd6e55d2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984844617674251
audit verb=release args=["000000003ad570de8dbbcbb16aebf097"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984845431323215
audit verb=release args=["000000003ad77eefa2c65019104f2f61"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984845432305580
audit verb=release args=["000000003ad8770eb23df62ae743c3e2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984845433179792
audit verb=release args=["000000003ade74f49cb989bdc90e4141"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984845439345970
audit verb=release args=["000000003adf7e94bbef2cddbd218834"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984845440399378
audit verb=release args=["00000000426473b2ac8107cc08fad987"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847365957952
audit verb=release args=["00000000426c77988ca776d73b796ddc"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847373869046
audit verb=release args=["00000000426d75f1a79e218b55b4d434"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847374628291
audit verb=release args=["000000004272746aa57813ac7db327b9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847380087733
audit verb=release args=["00000000427376dfa69c82a8c429fbc9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847380650290
audit verb=release args=["000000004279713089013c95c7f9a3da"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847386175984
audit verb=release args=["00000000427f7d81a7e1aca6b7331d0d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847392399490
audit verb=release args=["00000000427f7b71bf23cd0b18e15001"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847393153827
audit verb=release args=["0000000042807285b440cc859c97436c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847393811041
audit verb=release args=["0000000042817cb192ec9ff343b65b5f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847394489886
audit verb=release args=["0000000042827039bafe14aadbfda7ac"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847395316638
audit verb=release args=["00000000428573df90b80d63a3ed3109"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847398688359
audit verb=release args=["0000000042977b45a5eb1d9cba449806"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847416199090
audit verb=release args=["00000000429c70dda5d28d32b47d1aab"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984847421520802
audit verb=release args=["0000000044e279afa49d87a7bf1cfd0e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984848003435000
audit verb=release args=["00000000450b75148ad3f20f083aa25e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984848044369482
audit verb=release args=["000000004bfc7149acf29eebeb58d791"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849821371592
audit verb=release args=["000000004bfd7fd9be9efe225607e071"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849822131008
audit verb=release args=["000000004bfe7982befa88052aa6be91"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849823111639
audit verb=release args=["000000004c0478b79924ed9607834a7c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849829580195
audit verb=release args=["000000004c057e24a857bd4f714bd3c3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849830576867
audit verb=release args=["000000004c1e7e94a4bd1399000efb42"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849856337887
audit verb=release args=["000000004c257dad9671adc9053e0ed3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849862787719
audit verb=release args=["000000004c267100b5049b415f17f840"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849863842249
audit verb=release args=["000000004c2b705e98bd399e69bef1c1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849869023478
audit verb=release args=["000000004c2c7ebaac2b34fc7a7662b3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849869790929
audit verb=release args=["000000004c327a93b26cce32e717c443"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984849875257643
audit verb=release args=["0000000063c476cfb2e60b1a59642f5b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855909271025
audit verb=release args=["0000000063c5718da034d7facded3e15"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855910562229
audit verb=release args=["0000000063c674f1a5706ca59f526f69"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855911633271
audit verb=release args=["0000000063ce7e63bb39ffacc3c8080d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855919556659
audit verb=release args=["0000000063cf74d99f15f8a239593e11"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855920518374
audit verb=release args=["0000000063e17e80adf73875ec8b1874"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855938912693
audit verb=release args=["0000000063e77a338181fe9e5e6918b7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855944330597
audit verb=release args=["0000000063e87d62a0578af0f2ba0b4d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855945112054
audit verb=release args=["0000000063ed7e78a7e9883c440581d7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855950586923
audit verb=release args=["0000000063ee7ac180cf561f232b2b76"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855951429576
audit verb=release args=["0000000063f3786d8b9fb5b8c9a8a26b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855956475841
audit verb=release args=["0000000063f974edbfe59db61e597ea5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855963185269
audit verb=release args=["0000000063fa7f259ae00c28d2b6b8b8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855964003837
audit verb=release args=["0000000063fb7b56b8474463b06d7b6f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855964869622
audit verb=release args=["0000000063fc7c538d4c566337644497"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855965835767
audit verb=release args=["0000000063fd75429af468536913ec3a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855966467032
audit verb=release args=["0000000064027970b6899c5f6de52da8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855971337147
audit verb=release args=["00000000640277e98a2badecae488380"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855972092896
audit verb=release args=["00000000641273a19fba854880b6e611"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855987181417
audit verb=release args=["0000000064177a76b8d23808d5174776"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984855992093210
audit verb=release args=["0000000066f770f6b924bd0414fd60c6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984856728847701
audit verb=release args=["0000000067217b2d88c9081077d6f673"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984856770440450
audit verb=release args=["0000000070b275c69ac2d3b43dcd8435"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859219463030
audit verb=release args=["0000000070b37ebb9b70c7c805db2bcf"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859220208018
audit verb=release args=["0000000070b4749ba525be6865f22c86"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859221227171
audit verb=release args=["0000000070ba7e21ac1e1a64ab5eceb7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859227690288
audit verb=release args=["0000000070bb7332bc3dbeb1884f7aeb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859228460183
audit verb=release args=["0000000070c57553901ce61e2830d10a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859238285061
audit verb=release args=["0000000070cb7fc7847e987754043a4f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984859244236756
