host_ns=1789985082053422386 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985082053568400 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789985082053656896 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789985082053764248 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985086457225208 cella_engine: release id=0000000010c0708bb60ce1878c5efe79 host='' ip= port=0 direction=0
host_ns=1789985086477050224 cella_engine: release id=00000000115a7daaad91131e355c6689 host='' ip= port=0 direction=1
host_ns=1789985086478089315 cella_engine: release id=00000000115b7081bedae05e80e2a901 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789985086497706048 cella_engine: release id=00000000116f78b1839ae2c17d0ad3f7 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789985086499549581 cella_engine: release id=00000000117071eb89789d423935bc60 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789985086516398026 cella_engine: release id=0000000011817ed4baacf9bf30b30869 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789985086521427942 cella_engine: release id=0000000011867995a72c67c517bf2af9 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985086537234140 cella_engine: release id=000000001196709280391426ba64a1ce host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985086538141835 cella_engine: release id=000000001197736faae71b315df7a351 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985086556127616 cella_engine: release id=0000000011a975749ecf26c87e388149 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087038569275 cella_engine: release id=00000000138b7664bcd8ddd830774d16 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087039426064 cella_engine: release id=00000000138c7b1cbf97db80ac1f79c1 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985087061293765 cella_engine: release id=0000000013a27064be1e35edfca51831 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087403295259 cella_engine: release id=0000000014f875c29d735ad00acc619e host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087404410283 cella_engine: release id=0000000014f978579c565ce167b43c07 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985087421908029 cella_engine: release id=00000000150b7578968dc10e7f5e27b5 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087765952730 cella_engine: release id=00000000166375038e6576d83042dfe4 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087774990680 cella_engine: release id=00000000166c7df28995c5b9d53e6650 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985087792973798 cella_engine: release id=00000000167e724c8dd4bbe081d31cdd host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789985087793723595 cella_engine: release id=00000000167f7de0b2a8d91594c9f5ab host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789985089895282534 cella_engine: release id=000000001eb37004a45f303c6f034f20 host='deb.debian.org' ip=10.77.0.1 port=53 direction=0
host_ns=1789985089917509189 cella_engine: release id=000000001eca75cd847f69b13b2ff589 host='deb.debian.org' ip=10.77.0.1 port=53 direction=1
host_ns=1789985089918424308 cella_engine: release id=000000001ecb7e939ec4dbd46a07c55b host='astral.sh' ip=10.77.0.1 port=443 direction=0
host_ns=1789985089934508679 cella_engine: release id=000000001edb7a0f97f90a3904adecee host='astral.sh' ip=10.77.0.1 port=443 direction=1
