host_ns=1789984830388658697 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984830388839877 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984830388941388 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984830389032989 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984836193338540 cella_engine: release id=00000000165c7a2ba214aa1173cdf5b3 host='' ip= port=0 direction=0
host_ns=1789984836315125278 cella_engine: release id=00000000173a7316902c52c6fe4d1c62 host='' ip= port=0 direction=1
host_ns=1789984836315817408 cella_engine: release id=00000000173a7a67bec4426c562b8239 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984836323369929 cella_engine: release id=00000000174273498f55b32d7ee6d0cd host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984836328285380 cella_engine: release id=0000000017477397a9b0ad73b3dcb4f9 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984836335894988 cella_engine: release id=00000000174e7c5bb9dad5cf3871a57c host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984836336650536 cella_engine: release id=00000000174f733788399b3f68c62a55 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984836358310768 cella_engine: release id=00000000176573d78592186f37d1120e host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984836365099144 cella_engine: release id=00000000176b74e5b2cdeba7a3b5db37 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984836375339182 cella_engine: release id=0000000017767288b8c446cf6f411438 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984836376172837 cella_engine: release id=0000000017777280a389d9e5f08aa09d host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
