audit verb=start args=["fix-git-offline-onz2w3r"] uid=1000 gid=1000 persona=cella-machine host_ns=1789984537263424994
audit verb=gateway args=["fix-git-offline-onz2w3r", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789984537341405558
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984537348430659
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984537348660039
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984537348811233
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984537348918374
audit verb=release args=["00000000143e7035ae3e28721e79bd91"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542553089505
audit verb=release args=["00000000149c7c72943989a8e7d1bb9e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542606897821
audit verb=release args=["00000000149c754da5d73998cf79924e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542607432454
audit verb=release args=["0000000014a67ad3b1f95f2fccbba384"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542617339397
audit verb=release args=["0000000014ab7f06b575d4ce5a6c9d68"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542622193932
audit verb=release args=["0000000014b37df1968c76e254716f7d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542629831534
audit verb=release args=["0000000014b379fea317eac1ec4dc1cb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542630681559
audit verb=release args=["0000000014d6770e9080bc84d0d2e9f0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542665027902
audit verb=release args=["0000000014dc7c0cb7d7e6fdd1185e5c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542671306050
audit verb=release args=["0000000014e77c32b4dffc06d6fc9add"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542681609606
audit verb=release args=["0000000014e77655bb048126b053843b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542682501822
audit verb=release args=["0000000014ed7759883219b09f419c17"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542687659367
audit verb=release args=["0000000014ed72cb97bf756e4177d002"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542688257699
audit verb=release args=["0000000014f37d2fa3d1e456f43ded72"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542694091824
audit verb=release args=["0000000014f5778392877bc9af6f093b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542696064047
audit verb=release args=["00000000151f728bb44d09c76f7604c1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984542737820974
audit verb=release args=["000000002e6471cf8c6db35fcb517e4d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984549207337990
audit verb=release args=["000000002e657ad584dd678469df3398"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984549208216199
audit verb=release args=["0000000031eb72169d0b2ff6ef08616b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550109737521
audit verb=release args=["0000000031eb78bba56f4cd84fcd6687"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550110398914
audit verb=release args=["0000000031ec7ca3badea4ac66b02987"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550111438816
audit verb=release args=["0000000031f37f45a6eea5a02c15aa47"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550117938020
audit verb=release args=["0000000031f473a7ab8a83397b40a133"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550118659214
audit verb=release args=["0000000033b171209565b20385a106f8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550564578234
audit verb=release args=["0000000033b777899a17afdcc7b326d3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550569965259
audit verb=release args=["0000000033b87fa58e5b87d7fcdcf211"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550570673689
audit verb=release args=["0000000033bd716482d66977b03e3a82"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984550576239701
