host_ns=1789984507578738650 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984507578923318 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984507579037662 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984507579232277 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984507579403639 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984507579514958 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984507579645033 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984507579781088 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984507579872319 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984507579963831 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984507580728326 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984507580944222 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984507581116605 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984507581303987 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984507581475399 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984507581563264 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984507581733494 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984507581889207 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984542600365415 cella_engine: release id=00000000898d7ddf98efc24c16318ddf host='' ip= port=0 direction=1
host_ns=1789984542604294763 cella_engine: release id=0000000089be7e39aaf5776a93ffbb10 host='' ip= port=0 direction=0
host_ns=1789984542609246250 cella_engine: release id=0000000089c376a28c2dcff0887de938 host='' ip=10.77.0.2 port=50007 direction=1
host_ns=1789984542613021769 cella_engine: release id=0000000089c77852b95f6b349210286f host='' ip=10.77.0.2 port=50007 direction=0
host_ns=1789984542623739975 cella_engine: release id=0000000089d17ce7ad60fa6b2b6d914a host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542625417766 cella_engine: release id=0000000089d371a98fd9dd9951516873 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984542632181095 cella_engine: release id=0000000089da7cf6961611644fdb1b59 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542667341876 cella_engine: release id=0000000089fd7f7193aaa3030e396f8b host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542668277974 cella_engine: release id=0000000089fe7a9db355397369903ca2 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984542677603234 cella_engine: release id=000000008a0779f09937332aee15833a host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984542684152271 cella_engine: release id=000000008a0e78ed8d0cc4dab64f55a5 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542690265650 cella_engine: release id=000000008a1473558eeb7ad9768d69ac host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542691287379 cella_engine: release id=000000008a157fe0ac950d0ae12b6e16 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984542692564647 cella_engine: release id=000000008a1672e6acd4f1aaeffeb2a2 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984542694539595 cella_engine: release id=000000008a187433bf7a39febb415666 host='' ip= port=0 direction=0
host_ns=1789984542696491120 cella_engine: release id=000000008a1a7c2ab86f46116cdb9086 host='' ip= port=0 direction=1
host_ns=1789984542697397762 cella_engine: release id=000000008a1b7fe987fe8ad40fd24373 host='' ip=9.9.9.9 port=53 direction=0
host_ns=1789984542740465500 cella_engine: release id=000000008a467a55a9035a105a726e47 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984542765123781 cella_engine: release id=000000008a5f7ce39bdf274441322a9a host='' ip=9.9.9.9 port=53 direction=1
host_ns=1789984542769995859 cella_engine: release id=000000008a6372ba9d9531033793dce5 host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984542770056653 cella_engine: remember ip=104.18.3.115 port=443 skip_freeze=True keep_open=3600
host_ns=1789984548391081749 cella_engine: release id=000000008a94734d939a9bef8168e89f host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984548392338559 cella_engine: release id=000000008a9573c4adc6f4413428a10f host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548394875393 cella_engine: release id=000000008a987be7ab3d8adf8fe08a43 host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984548413613787 cella_engine: release id=000000008aab711fa31df0c4bba268dd host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984548414625737 cella_engine: release id=000000008aac7530b98b39b896f96e3b host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548416140712 cella_engine: release id=000000008aad71e3ace2be6021e4aea5 host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548417068364 cella_engine: release id=000000008aae715ab9d37132fc4e342f host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548417551822 cella_engine: release id=000000008aaf701d80922c20783fc021 host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984548417903462 cella_engine: release id=000000008aaf762585a8e74669055869 host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548418750292 cella_engine: release id=000000008ab077f7aa146b32ee74070f host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984548419637588 cella_engine: release id=000000008ab172ebb4429c180a256c7e host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984549202156150 cella_engine: release id=000000008dbf767d912ef18281c91f9b host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984549203151840 cella_engine: release id=000000008dc07f329ea8e741650a25a8 host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984549204021793 cella_engine: release id=000000008dc17ca2877ebf04ac378c3f host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984549209939074 cella_engine: release id=000000008dc7778798ab0d9db6ba41a6 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984550104168054 cella_engine: release id=0000000091457b44914f11fb885756fd host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
host_ns=1789984550105871843 cella_engine: release id=00000000914778bcbc0df05fe8ad01cb host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984550111749961 cella_engine: release id=00000000914d7b6db06aa4a095bfd6d8 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984550113788368 cella_engine: release id=00000000914f7d9d914e503bb205897f host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984550114569254 cella_engine: release id=0000000091507061b1a7df9fbde0b1a2 host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984550114754833 cella_engine: release id=0000000091507239aa90c1f3380945b4 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984550120064142 cella_engine: release id=0000000091557f9488bb00456c7435f8 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984550565881381 cella_engine: release id=00000000931376fa817314c05ff62f51 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984550566801299 cella_engine: release id=00000000931477f5b314c4a22e764c36 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984550571971547 cella_engine: release id=000000009319764cb1fd317e2a4fb9e6 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789984550572621247 cella_engine: release id=00000000931a7988a0faca2851c13e35 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789984550578252581 cella_engine: release id=000000009320758aa9e162eac3772434 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789984550603156783 cella_engine: release id=000000009338773bbb29cd30cdf28445 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789984550603891933 cella_engine: release id=0000000093397ec7993b0110f4c502bd host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789984550609483923 cella_engine: release id=00000000933f789c86a8acd055938c42 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789984550611462920 cella_engine: release id=00000000934175698e20fdf5c7f598c4 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789984550612149739 cella_engine: release id=00000000934172f58990366c883d9324 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789984550612408164 cella_engine: release id=00000000934272e494d0573c137ffece host='openrouter.ai' ip=104.18.3.115 port=443 direction=0
host_ns=1789984550632422355 cella_engine: release id=00000000935670b2bb9813c2e0ce28c7 host='openrouter.ai' ip=104.18.3.115 port=443 direction=1
