host_ns=1789984537348315151 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984537348441699 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984537348535596 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984537348625454 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984542552962176 cella_engine: release id=00000000143e7035ae3e28721e79bd91 host='' ip= port=0 direction=0
host_ns=1789984542606826827 cella_engine: release id=00000000149c7c72943989a8e7d1bb9e host='' ip= port=0 direction=1
host_ns=1789984542607384334 cella_engine: release id=00000000149c754da5d73998cf79924e host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984542617272301 cella_engine: release id=0000000014a67ad3b1f95f2fccbba384 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984542622144960 cella_engine: release id=0000000014ab7f06b575d4ce5a6c9d68 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542629738929 cella_engine: release id=0000000014b37df1968c76e254716f7d host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984542630564049 cella_engine: release id=0000000014b379fea317eac1ec4dc1cb host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542664921281 cella_engine: release id=0000000014d6770e9080bc84d0d2e9f0 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542671218635 cella_engine: release id=0000000014dc7c0cb7d7e6fdd1185e5c host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984542681547279 cella_engine: release id=0000000014e77c32b4dffc06d6fc9add host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984542682408016 cella_engine: release id=0000000014e77655bb048126b053843b host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542687597491 cella_engine: release id=0000000014ed7759883219b09f419c17 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542688198699 cella_engine: release id=0000000014ed72cb97bf756e4177d002 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984542694007997 cella_engine: release id=0000000014f37d2fa3d1e456f43ded72 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984542696014685 cella_engine: release id=0000000014f5778392877bc9af6f093b host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984542737732068 cella_engine: release id=00000000151f728bb44d09c76f7604c1 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984549207246418 cella_engine: release id=000000002e6471cf8c6db35fcb517e4d host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984549208103477 cella_engine: release id=000000002e657ad584dd678469df3398 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550109619510 cella_engine: release id=0000000031eb72169d0b2ff6ef08616b host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984550110350803 cella_engine: release id=0000000031eb78bba56f4cd84fcd6687 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550111388762 cella_engine: release id=0000000031ec7ca3badea4ac66b02987 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550117843622 cella_engine: release id=0000000031f37f45a6eea5a02c15aa47 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984550118587259 cella_engine: release id=0000000031f473a7ab8a83397b40a133 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550564452368 cella_engine: release id=0000000033b171209565b20385a106f8 host='openrouter.ai' ip=10.77.0.1 port=53 direction=0
host_ns=1789984550569894857 cella_engine: release id=0000000033b777899a17afdcc7b326d3 host='openrouter.ai' ip=10.77.0.1 port=53 direction=1
host_ns=1789984550570601885 cella_engine: release id=0000000033b87fa58e5b87d7fcdcf211 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550576160552 cella_engine: release id=0000000033bd716482d66977b03e3a82 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789984550577047338 cella_engine: release id=0000000033be78a08bb71d030f0904d6 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550600879617 cella_engine: release id=0000000033d67543944d8591091b093a host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789984550607372959 cella_engine: release id=0000000033dc7420b330e639efffa3ae host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
