audit verb=start args=["verify-cella-env-airgapped-7fuom69"] uid=1000 gid=1000 persona=cella-machine host_ns=1789985339894939563
audit verb=gateway args=["verify-cella-env-airgapped-7fuom69", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789985339969760175
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985339977748434
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985339977932880
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985339977981261
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985339978036565
audit verb=release args=["000000001114771bac67e38509deb30e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344381404270
audit verb=release args=["0000000011e47442bb43fbd2d5c69e05"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344542326133
audit verb=release args=["0000000011e5759da1fce2e89881a655"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344543039873
audit verb=release args=["0000000011f07231a23cf522da133876"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344554806556
audit verb=release args=["0000000011f67cacabfb6eb2f62f32e3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344559877879
audit verb=release args=["0000000011fd7ca0abeef9269d98f701"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344567210087
audit verb=release args=["0000000011fe72c7a3dfdf2b18c94477"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344567999699
audit verb=release args=["0000000012237a9798492d6485d3f207"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344605470468
audit verb=release args=["0000000012297b4b9ffe094a01e2fac9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344611009248
audit verb=release args=["00000000123378c389e935f905924d13"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344621275716
audit verb=release args=["0000000012347e9f8416d63aef5c57a7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344622136021
audit verb=release args=["00000000123a7fd28348fd3016e979a6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344627931022
audit verb=release args=["00000000123a72439517e847425ae71a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344628693775
audit verb=release args=["00000000123b79aca3afb42f2385a2d0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344629400321
audit verb=release args=["00000000123f7232a044b5220bf47b90"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344633581091
audit verb=release args=["00000000124176c1bc29f0576e99bd13"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344635620681
audit verb=release args=["00000000126a79d0a2746e4ffe55c191"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985344676836562
audit verb=release args=["000000002bcd72b6935d06c30ee08220"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985351175152604
audit verb=release args=["000000002bce79c0a4f6a6cfeb0b6b4c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985351176026334
audit verb=release args=["0000000032dc7f56b67cb241a7086630"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985352982282163
audit verb=release args=["0000000032dd7ff9b8553f87fdd45de8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985352982947282
audit verb=release args=["0000000032de74cf9e438f8f94520877"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985352984209001
audit verb=release args=["0000000032e47b49b24bb40867b648e7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985352990499613
