host_ns=1789985322522092731 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985322522250648 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985322522355755 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789985322522443239 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789985322522489987 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789985322522556772 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789985322522627746 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789985322522743864 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789985322522796202 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789985322523010004 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789985322523226930 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789985322523323411 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789985322523398463 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789985322523485977 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789985322523547803 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789985322523613236 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789985322523648432 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789985322523738832 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789985344535950051 cella_engine: release id=00000000557877559596bc9284bd7558 host='' ip= port=0 direction=1
host_ns=1789985344538974139 cella_engine: release id=0000000056147316b092274c69be7d8b host='' ip= port=0 direction=0
host_ns=1789985344546367020 cella_engine: release id=00000000561c7e68877d9b64d398e3b3 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344550199406 cella_engine: release id=00000000561f70ad84208d71acedfa5f host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344561000517 cella_engine: release id=00000000562a7c7da2e9a7c371da4cbf host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344563237387 cella_engine: release id=00000000562c79ee93d73b0df3c2ac61 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344569915677 cella_engine: release id=000000005632772d87680fe4c119b7c4 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344606601221 cella_engine: release id=0000000056587286a07079baf73b47d1 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344607759346 cella_engine: release id=0000000056597f7599ad8071a94d83bd host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344617354312 cella_engine: release id=00000000566279d48e12a26b669198a2 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344623357625 cella_engine: release id=0000000056687d9bb51a52e2bcd8cedb host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344629521539 cella_engine: release id=00000000566f7f8e88989f043215060d host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344630386213 cella_engine: release id=000000005670785fafaaf5d53970f2cb host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344631528538 cella_engine: release id=000000005671711bb91687fcef5fbc72 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344631749482 cella_engine: release id=00000000567173b194292ad6b72c4d86 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344632450488 cella_engine: release id=0000000056727d678ffd9b258c3082a5 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985344633693022 cella_engine: release id=00000000567372a3aa67b194cd692ff9 host='' ip= port=0 direction=0
host_ns=1789985344635774239 cella_engine: release id=0000000056757b1e887c5e67c8c12c2d host='' ip= port=0 direction=1
host_ns=1789985344636697634 cella_engine: release id=00000000567672fea62765b865f22402 host='' ip=9.9.9.9 port=53 direction=0
host_ns=1789985344679684851 cella_engine: release id=0000000056a175bc9d227a201ae8fad4 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985344709171657 cella_engine: release id=0000000056be7ab0a47f05e9d26ec06b host='' ip=9.9.9.9 port=53 direction=1
host_ns=1789985344714599369 cella_engine: release id=0000000056c47ef482a1d21206d9370c host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985344714713393 cella_engine: remember ip=104.18.2.115 port=443 skip_freeze=True keep_open=3600
host_ns=1789985350297650281 cella_engine: release id=0000000056f37bcc91ab735404512c39 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985350298495638 cella_engine: release id=0000000056f572e28a07463647e19af3 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985350298988213 cella_engine: release id=0000000056f5707d9a20e35ee67b3b79 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985350320418623 cella_engine: release id=00000000570a73f0816d021d2c3db2e0 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985350321227341 cella_engine: release id=00000000570b746d9ba92593bfdfdb14 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985350322513316 cella_engine: release id=00000000570d7ed9ab9a27aabdd4f46b host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985350323180850 cella_engine: release id=00000000570d786e98d2c787fb20bae7 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985350324087953 cella_engine: release id=00000000570e70c8aa9a5294211a8ddd host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985350324649177 cella_engine: release id=00000000570f726e8287db6f699cc13c host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985350326350421 cella_engine: release id=0000000057107659b53cc99b9ee48e90 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985351170869320 cella_engine: release id=000000005a5c7a5dbfdfd203e0504911 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985351172121813 cella_engine: release id=000000005a5e779ea2664c7d76319269 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985351172595041 cella_engine: release id=000000005a5f7e9788c1ea922047b2ec host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985351178505449 cella_engine: release id=000000005a657800b7fbe94c840717f1 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985352977544878 cella_engine: release id=00000000616b77c992132225d5f57f80 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985352978626669 cella_engine: release id=00000000616d769996a487ab66a1a8d5 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985352985215041 cella_engine: release id=000000006173767c9d880f5179587de4 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985352987360859 cella_engine: release id=00000000617571669cf524b3121db0b9 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985352988470042 cella_engine: release id=0000000061767305b9e28c61543bb098 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985352988610646 cella_engine: release id=00000000617777e6b467db5f7686e32d host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789985352993635751 cella_engine: release id=00000000617c7bdbaf14eb905878e557 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789985353039472409 cella_engine: release id=0000000061a97e0e99010e61bce5f793 host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789985353040269485 cella_engine: release id=0000000061aa7324a1498230233501f6 host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789985353045558748 cella_engine: release id=0000000061b07b5fa48f2db0105b47d9 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353046214238 cella_engine: release id=0000000061b07f0bacb7f273491eeb25 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985353051903421 cella_engine: release id=0000000061b67c47b6eb9ee09251eca3 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353076718977 cella_engine: release id=0000000061cf78ac8dbe7bc5818b7bde host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353077364830 cella_engine: release id=0000000061cf76d59b408fa3840da970 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985353083042380 cella_engine: release id=0000000061d57d1685b26402f075070d host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353085023109 cella_engine: release id=0000000061d77136919543c215463309 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353085632744 cella_engine: release id=0000000061d87257862eb675e92a5a17 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985353085984314 cella_engine: release id=0000000061d8741ab1850f215ee74fa9 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353108243871 cella_engine: release id=0000000061ee7fa6a63767a9af1a5d81 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353109435538 cella_engine: release id=0000000061ef760196d235dbe51d822d host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353112266655 cella_engine: release id=0000000061f2776985bf5680a8481542 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353133041333 cella_engine: release id=00000000620773debcb7f7153098442a host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353133201894 cella_engine: release id=000000006207719dbd1fc1aeefb9378d host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985353134271493 cella_engine: release id=00000000620874c8896cdd2de4ef8116 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353135644251 cella_engine: release id=00000000620a7d5e99361d83b7535e20 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353136297708 cella_engine: release id=00000000620a714db1cc1de9e723e99d host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353137085607 cella_engine: release id=00000000620b7a5180554487fb7b7966 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353137224888 cella_engine: release id=00000000620b702fb9b5739b5ddf7909 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353138156237 cella_engine: release id=00000000620c70d0908bfec12736b612 host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353138971157 cella_engine: release id=00000000620d7ce9a7936a4abd8af48b host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353139240263 cella_engine: release id=00000000620d7f9f89d40de1e9dc8115 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353141555220 cella_engine: release id=00000000621076809182c0db84eff356 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353716680299 cella_engine: release id=00000000644e716f9ab232579eef2346 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985353717722586 cella_engine: release id=0000000064507b84a2b4c0ecaf7f80cf host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985353718843782 cella_engine: release id=0000000064517808bc9ab605c927e601 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985353724482579 cella_engine: release id=0000000064567125bfc763b20533f2a4 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985355615767478 cella_engine: release id=000000006bb97018a0a6950cefda1447 host='openrouter.ai' ip=104.18.2.115 port=443 direction=1
host_ns=1789985355616972240 cella_engine: release id=000000006bbb7c57be47cb230446d434 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985355623397364 cella_engine: release id=000000006bc17595b3398828ffc7b29c host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985355625473763 cella_engine: release id=000000006bc471f1b4cd0d3fa483c56e host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985355626705786 cella_engine: release id=000000006bc571a399dc3cfb5a3d28dc host='openrouter.ai' ip=104.18.2.115 port=443 direction=0
host_ns=1789985355626959523 cella_engine: release id=000000006bc57a0ab1970c312b5994ce host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789985355631827293 cella_engine: release id=000000006bca7e19b891bc20ae81ab3e host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789985355700429377 cella_engine: release id=000000006c0e7ad690232f0642471998 host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789985355701344435 cella_engine: release id=000000006c0f79e58a84290a7010870b host='' ip=10.77.0.2 port=50005 direction=0
