host_ns=1789985339977600927 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985339977757410 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789985339977860063 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789985339977951996 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985344381258927 cella_engine: release id=000000001114771bac67e38509deb30e host='' ip= port=0 direction=0
host_ns=1789985344542235022 cella_engine: release id=0000000011e47442bb43fbd2d5c69e05 host='' ip= port=0 direction=1
host_ns=1789985344542951667 cella_engine: release id=0000000011e5759da1fce2e89881a655 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789985344554728771 cella_engine: release id=0000000011f07231a23cf522da133876 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789985344559822625 cella_engine: release id=0000000011f67cacabfb6eb2f62f32e3 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344567147570 cella_engine: release id=0000000011fd7ca0abeef9269d98f701 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985344567906435 cella_engine: release id=0000000011fe72c7a3dfdf2b18c94477 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344605377123 cella_engine: release id=0000000012237a9798492d6485d3f207 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344610866210 cella_engine: release id=0000000012297b4b9ffe094a01e2fac9 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985344621208399 cella_engine: release id=00000000123378c389e935f905924d13 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985344622041403 cella_engine: release id=0000000012347e9f8416d63aef5c57a7 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344627819363 cella_engine: release id=00000000123a7fd28348fd3016e979a6 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344628620868 cella_engine: release id=00000000123a72439517e847425ae71a host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344629347031 cella_engine: release id=00000000123b79aca3afb42f2385a2d0 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985344633525357 cella_engine: release id=00000000123f7232a044b5220bf47b90 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985344635570618 cella_engine: release id=00000000124176c1bc29f0576e99bd13 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985344676760209 cella_engine: release id=00000000126a79d0a2746e4ffe55c191 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985351175028239 cella_engine: release id=000000002bcd72b6935d06c30ee08220 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985351175925495 cella_engine: release id=000000002bce79c0a4f6a6cfeb0b6b4c host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985352982221860 cella_engine: release id=0000000032dc7f56b67cb241a7086630 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985352982888692 cella_engine: release id=0000000032dd7ff9b8553f87fdd45de8 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985352984159338 cella_engine: release id=0000000032de74cf9e438f8f94520877 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985352990450170 cella_engine: release id=0000000032e47b49b24bb40867b648e7 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985352991325083 cella_engine: release id=0000000032e579b9bd290233c48022d5 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353035823477 cella_engine: release id=00000000331170d3b86df2d160919406 host='openrouter.ai' ip=10.77.0.1 port=53 direction=0
host_ns=1789985353042347267 cella_engine: release id=0000000033187975be3ff38425c82c2a host='openrouter.ai' ip=10.77.0.1 port=53 direction=1
host_ns=1789985353043121180 cella_engine: release id=00000000331970ada23bc28fb085a121 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353048528594 cella_engine: release id=00000000331e7d31ab0bcca387bdd54b host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985353049212247 cella_engine: release id=00000000331f7bc7b0ec59c19bbef2cf host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353074891666 cella_engine: release id=00000000333977599d33d38414660047 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353079835709 cella_engine: release id=00000000333e7257b0f1d1dd598e1c83 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985353080768851 cella_engine: release id=00000000333f73fb95ff749c56ddefd7 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353082076827 cella_engine: release id=000000003340774a9c83bc0640656592 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353082756323 cella_engine: release id=0000000033417a7cb814c297559f5c49 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353083386116 cella_engine: release id=0000000033417ae1bde463dda227c770 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353088144851 cella_engine: release id=0000000033467e0cb7e96dc9ed3b1ed1 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985353130444928 cella_engine: release id=000000003370732e91183ff6a527d8ce host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985353720302030 cella_engine: release id=0000000035be72e6abdf2b794b7eeef7 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985353721105378 cella_engine: release id=0000000035bf7e8fb90c06008e611534 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985355619655728 cella_engine: release id=000000003d2974c59bb0d305613fff36 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985355620640318 cella_engine: release id=000000003d2a70b9965b0888d932ccaa host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
