audit verb=start args=["verify-cella-env-www-ypuajtt"] uid=1000 gid=1000 persona=cella-machine host_ns=1789985544859777739
audit verb=gateway args=["verify-cella-env-www-ypuajtt", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789985544944880035
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985544952268759
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985544952423250
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985544952473153
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985544952523377
audit verb=release args=["0000000011b27ad3909b4019e7feb516"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549556528728
audit verb=release args=["0000000012297038879fe4601cb9f45b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549582076920
audit verb=release args=["00000000122974de8b5233da87e7ea34"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549582818352
audit verb=release args=["00000000123170f1bed34befb98abd9b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549590270094
audit verb=release args=["0000000012357e698d4ec4b221a28b43"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549595068875
audit verb=release args=["00000000123d7fae920d87cb66214e52"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549602787688
audit verb=release args=["00000000123e76a1aeff8c50c5bd6605"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549603433941
audit verb=release args=["0000000012677b83af48eda9d89005a4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549645017643
audit verb=release args=["00000000126d773eacbd63bdf0e872b4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549650677320
audit verb=release args=["00000000127772caa78aa8438c6fca90"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549660866242
audit verb=release args=["0000000012787816afe377aba05bef75"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549661535889
audit verb=release args=["00000000127e76be85902668eebd2f1b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549667524084
audit verb=release args=["00000000127f73119f7b0ff8fade8dd5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549668544389
audit verb=release args=["000000001280714c8000b0c24ee24b33"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549669124499
audit verb=release args=["0000000012847692a0f6698c84ed8de4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549673410527
audit verb=release args=["0000000012867d71a54cf92d1f9b95b7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549675399060
audit verb=release args=["0000000012af7838858ec16b475e8c74"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985549717499152
audit verb=release args=["000000002cc1743db635cdf710e5aa20"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985556390596882
audit verb=release args=["000000002cc27519a90706c3e85c5776"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985556391386415
audit verb=release args=["00000000304b7044b0213ee302fe6939"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985557297085353
audit verb=release args=["00000000304c7c33a35dce746b97a9ba"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985557297939096
audit verb=release args=["00000000304e76f78efae4eb2b81965b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789985557299230552
