host_ns=1789985527162635035 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985527162793213 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985527162913598 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789985527163002746 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789985527163116750 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789985527163232888 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789985527163346401 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789985527163465094 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789985527163562627 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789985527163696759 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789985527163779885 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789985527163884883 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789985527163971886 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789985527164048399 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789985527164127658 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789985527164182491 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789985527164213690 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789985527164239508 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789985549575801597 cella_engine: release id=00000000579175759194ccfad4513736 host='' ip= port=0 direction=1
host_ns=1789985549578307673 cella_engine: release id=0000000057a57f2ebbddf95e3aec48a4 host='' ip= port=0 direction=0
host_ns=1789985549584037902 cella_engine: release id=0000000057aa770890d4145e6083023f host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789985549587183008 cella_engine: release id=0000000057ae7d44b303c22ec67c504c host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789985549596521572 cella_engine: release id=0000000057b77582876d61674c962e50 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549598459992 cella_engine: release id=0000000057b9788794668188dcb5d4f5 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789985549605422516 cella_engine: release id=0000000057bf78c18f5fc403410eb22b host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549646603521 cella_engine: release id=0000000057e976f6b58311aefbbc223c host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549647570046 cella_engine: release id=0000000057ea73d78281bd47e265693a host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789985549657241646 cella_engine: release id=0000000057f4784b98992f01acbb05f2 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789985549663276397 cella_engine: release id=0000000057fa739187b101fe18a62d74 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549669564515 cella_engine: release id=000000005800786c9ddf69b4fa3957cb host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549670648300 cella_engine: release id=00000000580177d889506f6d6c513631 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789985549671563819 cella_engine: release id=0000000058027115b0049cb76b490933 host='' ip=10.77.0.2 port=50000 direction=1
host_ns=1789985549672450875 cella_engine: release id=0000000058037333b5443b4cbd0a4d44 host='' ip=10.77.0.2 port=50000 direction=0
host_ns=1789985549674039938 cella_engine: release id=000000005804742fbad38098b9229149 host='' ip= port=0 direction=0
