host_ns=1789985922745758345 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985922745892727 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789985922745984529 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789985922746064459 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985926149194499 cella_engine: release id=000000000cdb78aaaef1df25535b1588 host='' ip= port=0 direction=0
host_ns=1789985926172068780 cella_engine: release id=000000000d757412afaac4851076d665 host='' ip= port=0 direction=1
host_ns=1789985926172895722 cella_engine: release id=000000000d7670809fac16e787261d70 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789985926194967627 cella_engine: release id=000000000d8c75d0a24475d4ae3de3f4 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789985926239236010 cella_engine: release id=000000000db87a28b81d8500067b5633 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789985926259261462 cella_engine: release id=000000000dcc7f81b297268b73674c79 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789985926260320610 cella_engine: release id=000000000dce781ebcc9321087eb3e1e host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789985926277943610 cella_engine: release id=000000000ddf7689aec590c35b2fa756 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789985926282977643 cella_engine: release id=000000000de47fa0a2bc5d59ed722c65 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789985926300648264 cella_engine: release id=000000000df67d9bad2feeb1b0190b4b host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789985926301507887 cella_engine: release id=000000000df77b30830be3f740a2ebe7 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789985926304793096 cella_engine: release id=000000000dfa7f6094409f050a7e8db6 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789985926329797688 cella_engine: release id=000000000e1378b6bcee917ffacd502d host='example.com' ip=10.77.0.1 port=443 direction=1
