host_ns=1789985544952139887 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789985544952288807 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789985544952384176 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789985544952465759 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789985549556407881 cella_engine: release id=0000000011b27ad3909b4019e7feb516 host='' ip= port=0 direction=0
host_ns=1789985549582016777 cella_engine: release id=0000000012297038879fe4601cb9f45b host='' ip= port=0 direction=1
host_ns=1789985549582753300 cella_engine: release id=00000000122974de8b5233da87e7ea34 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789985549590218928 cella_engine: release id=00000000123170f1bed34befb98abd9b host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789985549595002290 cella_engine: release id=0000000012357e698d4ec4b221a28b43 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549602722877 cella_engine: release id=00000000123d7fae920d87cb66214e52 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985549603379639 cella_engine: release id=00000000123e76a1aeff8c50c5bd6605 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549644887710 cella_engine: release id=0000000012677b83af48eda9d89005a4 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549650570360 cella_engine: release id=00000000126d773eacbd63bdf0e872b4 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985549660806120 cella_engine: release id=00000000127772caa78aa8438c6fca90 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985549661481337 cella_engine: release id=0000000012787816afe377aba05bef75 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549667474381 cella_engine: release id=00000000127e76be85902668eebd2f1b host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549668468827 cella_engine: release id=00000000127f73119f7b0ff8fade8dd5 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549669070287 cella_engine: release id=000000001280714c8000b0c24ee24b33 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985549673313454 cella_engine: release id=0000000012847692a0f6698c84ed8de4 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985549675347574 cella_engine: release id=0000000012867d71a54cf92d1f9b95b7 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985549717405907 cella_engine: release id=0000000012af7838858ec16b475e8c74 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985556390534896 cella_engine: release id=000000002cc1743db635cdf710e5aa20 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985556391337523 cella_engine: release id=000000002cc27519a90706c3e85c5776 host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985557297020832 cella_engine: release id=00000000304b7044b0213ee302fe6939 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985557297870888 cella_engine: release id=00000000304c7c33a35dce746b97a9ba host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985557299164919 cella_engine: release id=00000000304e76f78efae4eb2b81965b host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985557305283617 cella_engine: release id=000000003054728a82d03a84d619b685 host='openrouter.ai' ip=10.77.0.1 port=443 direction=1
host_ns=1789985557306187455 cella_engine: release id=000000003055749a8aa54e8dc56288ec host='openrouter.ai' ip=10.77.0.1 port=443 direction=0
host_ns=1789985557340595493 cella_engine: release id=0000000030777be4af9b2104e80094f5 host='openrouter.ai' ip=10.77.0.1 port=53 direction=0
