audit verb=start args=["cella-policy-engine-www-tpwlanm"] uid=1000 gid=1000 persona=cella-machine host_ns=1789984256644125145
audit verb=gateway args=["cella-policy-engine-www-tpwlanm", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789984256729227061
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984256739045696
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984256739179998
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984256739227128
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984256739280708
audit verb=release args=["000000000c8f717583b3d27a564f36f3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984259942020868
audit verb=release args=["000000000d4a799588caf32f0bf45f76"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260123111130
audit verb=release args=["000000000d4b798d9c0426be78181222"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260123983368
audit verb=release args=["000000000d507166aec3c7c041c827f3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260129060240
audit verb=release args=["000000000d5179f8947e2610924f9e66"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260129862908
audit verb=release args=["000000000d5771c988be7d9e232a7cab"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260135093540
audit verb=release args=["000000000d5b7a6685441fb219d28665"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260140019289
audit verb=release args=["000000000d6177f2888e3c4714cbe40f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260145527762
audit verb=release args=["000000000d62709a82bc29874bbffdf5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260146402544
audit verb=release args=["000000000d657c9e9648edcc8656d320"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260149808489
audit verb=release args=["000000000d6b7a1cb69482bba8147408"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260155980579
audit verb=release args=["000000000d6d7a7dab3c59d2efb42caa"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260158008367
audit verb=release args=["000000000d6e7246b3ba21c394045ae6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260158658377
audit verb=release args=["000000000d7376899317c54770224773"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260163942049
audit verb=release args=["000000000d7a7bc086352c38e6c7cf67"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260170444027
audit verb=release args=["000000000da378b7afad0b5471b07333"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984260212042586
audit verb=release args=["00000000238a7e72a0f599770a561125"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265819144255
audit verb=release args=["00000000238b7027b5cf6b95aa81e1bb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265820005843
audit verb=release args=["00000000238c72d0b606ce8aa7f7ed78"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265821097683
audit verb=release args=["0000000023a572aa8415b7ab4871ddbd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265845869677
audit verb=release args=["0000000023ab77adbb33e9947715d65b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265852143357
audit verb=release args=["0000000023ac725b82217dc81303eacf"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265852976161
audit verb=release args=["0000000023b2725285f246379312376d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265858402119
audit verb=release args=["0000000023b372b59a37fcd910a77d67"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265859195499
audit verb=release args=["0000000023b87c488de63131f96f5299"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265864635764
audit verb=release args=["0000000023b97140ac24dec29d570218"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984265865380703
