host_ns=1789984247509531972 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984247509708022 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984247509823899 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984247509917466 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984247509998538 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984247510089619 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984247510162145 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984247510249680 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984247510316745 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984247510402326 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984247510486283 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984247510565812 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984247510643830 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984247510758775 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984247510827153 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984247510913606 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984247510998355 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984247511052106 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984260118157198 cella_engine: release id=0000000030b27b21ba264896f417fcbc host='' ip= port=0 direction=1
host_ns=1789984260119632388 cella_engine: release id=0000000031637aad845eef20659e5937 host='' ip= port=0 direction=0
host_ns=1789984260125604021 cella_engine: release id=0000000031697ce3824c81938f56bcb7 host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789984260126383635 cella_engine: release id=0000000031697ab588602c88f56336ae host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789984260131826145 cella_engine: release id=00000000316f725fb8f13e172cf5da9b host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789984260132654490 cella_engine: release id=00000000317070db8de852b2396ad0fb host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789984260142254345 cella_engine: release id=00000000317979e78f761e4cd35e7f2f host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260143071730 cella_engine: release id=00000000317a7f2c8056233662529197 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789984260148528216 cella_engine: release id=00000000317f73a98d44d05796ae42ad host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260152680663 cella_engine: release id=0000000031847e3db617bc87bf938707 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260153524066 cella_engine: release id=00000000318570dfa809a245bf1fd0ea host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789984260154823386 cella_engine: release id=0000000031867eb79199e01363a9a891 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789984260161029460 cella_engine: release id=00000000318c7f7ea48347e50f1043d8 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260167221305 cella_engine: release id=0000000031927ccb85e10a67cadf415e host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260167954642 cella_engine: release id=0000000031937c1eb52c96646db37a95 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789984260168247593 cella_engine: release id=0000000031937138bd8f61e0cc4392c8 host='' ip= port=0 direction=0
host_ns=1789984260169243813 cella_engine: release id=0000000031947bc2897859b288c6e1e5 host='' ip= port=0 direction=1
host_ns=1789984260169831837 cella_engine: release id=00000000319573f09f184d953728b1ab host='' ip=9.9.9.9 port=53 direction=0
host_ns=1789984260215251221 cella_engine: release id=0000000031c2710ebcebfad33d7d072c host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984260240140726 cella_engine: release id=0000000031db7c92914ae6eed256b8b4 host='' ip=9.9.9.9 port=53 direction=1
host_ns=1789984260245318709 cella_engine: release id=0000000031e0727bbb358dfd318be8d7 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984260245418647 cella_engine: remember ip=172.66.147.243 port=443 skip_freeze=True keep_open=3600
host_ns=1789984265707781389 cella_engine: release id=00000000322c7680aea7f2885ebd6453 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265708624322 cella_engine: release id=00000000322d78ae93b5073eae5bfa42 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984265709695133 cella_engine: release id=00000000322e727890d5e4dd2022e480 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265734599836 cella_engine: release id=00000000324776f99825494680943f00 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265735226232 cella_engine: release id=000000003248798c9eeb408508de8da2 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984265736650246 cella_engine: release id=000000003249705ba4beb46e51d59126 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265737419170 cella_engine: release id=00000000324a7588bf1a22c7b2aaa1b7 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984265738757323 cella_engine: release id=00000000324b7b6297f42431d3448147 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265739445656 cella_engine: release id=00000000324c7012911f979185cf4907 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984265740839532 cella_engine: release id=00000000324d7d198df2d3bd0068efe5 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265815990944 cella_engine: release id=00000000329876a4aae79ececb878b22 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265817192090 cella_engine: release id=00000000329a72b4b1ac259ff4d7550e host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789984265817750638 cella_engine: release id=00000000329a7859a53e9d2e8c944acd host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984265821943481 cella_engine: release id=00000000329e7cee8a1f26862b1f3a4d host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984265824042282 cella_engine: release id=0000000032a17c1f81cc58d8f43bfcde host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789984265824830111 cella_engine: release id=0000000032a17d2b82824e68fe38d12c host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984265849173020 cella_engine: release id=0000000032ba77b7bd8f364fdddf0857 host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789984265850040438 cella_engine: release id=0000000032ba78ab9b27753a302af7a0 host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789984265855827164 cella_engine: release id=0000000032c07099afa62ee6b6a287aa host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789984265856593113 cella_engine: release id=0000000032c1706bab45002bfac179e0 host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789984265862061150 cella_engine: release id=0000000032c6790ea219566513c5f093 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984265862715128 cella_engine: release id=0000000032c773ba9fd03113d8547be7 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984265868368584 cella_engine: release id=0000000032cc76c093add6edd25b3ca1 host='' ip=10.77.0.2 port=50002 direction=1
