host_ns=1789984299912038834 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984299912170551 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984299912263255 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984299912348365 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984303316820706 cella_engine: release id=000000000d107fd5a79b5441c6acb687 host='' ip= port=0 direction=0
host_ns=1789984303325902900 cella_engine: release id=000000000d6e7f88825c38ebef51b7ac host='' ip= port=0 direction=1
host_ns=1789984303326638482 cella_engine: release id=000000000d6f7233ab976de3ca57d7ed host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984303334651437 cella_engine: release id=000000000d7671b0bad4617165419e00 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984303335738408 cella_engine: release id=000000000d787fc895d4a3469a2b7bc7 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984303345229570 cella_engine: release id=000000000d817887a3e7d7baa8bf4004 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984303350496068 cella_engine: release id=000000000d86791fad5196ee5145ae21 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303359648905 cella_engine: release id=000000000d8f724a9afaab3e16712991 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303360865489 cella_engine: release id=000000000d917df89d24bde4e91fd7de host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303363433651 cella_engine: release id=000000000d947d5c9c860b0fb5b94768 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303369464515 cella_engine: release id=000000000d9a7ecc80e71f4b7532f877 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303384619552 cella_engine: release id=000000000da8733f8c169c3b66f69bb3 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303385932207 cella_engine: release id=000000000daa788987c32c19baf75289 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303391957370 cella_engine: release id=000000000db073c288315cd6e4d9b9a6 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303398492311 cella_engine: release id=000000000db7744fa53e02a387618b11 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303400468441 cella_engine: release id=000000000db9731b9df8f2f2056a709b host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303441745187 cella_engine: release id=000000000de270b2a05875361d35d225 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303554233245 cella_engine: release id=000000000e527fec8ec6f4e13e1c38e3 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303555271685 cella_engine: release id=000000000e5476899d5822da7a82710f host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303556054605 cella_engine: release id=000000000e5471e9b4de061a4085d0b7 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303579360185 cella_engine: release id=000000000e6b7b568894e9f2a73005b9 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984303585539659 cella_engine: release id=000000000e717060b75f2d8cfba2cec6 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984303586472650 cella_engine: release id=000000000e737e83978e590de055f492 host='example.org' ip=10.77.0.1 port=53 direction=0
host_ns=1789984303593911969 cella_engine: release id=000000000e7a79b5a94c467e50016345 host='example.org' ip=10.77.0.1 port=53 direction=1
host_ns=1789984303594873224 cella_engine: release id=000000000e7b7e088bb943c4d6799286 host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303602320568 cella_engine: release id=000000000e827de884381e177150ddb2 host='example.org' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303603318622 cella_engine: release id=000000000e847ce2b6ed4bb22eb7a4c5 host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303610496109 cella_engine: release id=000000000e8a7b1b866c9664d3758ed5 host='example.org' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303611319164 cella_engine: release id=000000000e8c77078f7593eff1308fc5 host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303613109246 cella_engine: release id=000000000e8d759f9cb4dd82204d867a host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984303618536968 cella_engine: release id=000000000e927214b91c7869173c34af host='example.org' ip=10.77.0.1 port=443 direction=1
host_ns=1789984303660733320 cella_engine: release id=000000000ebd7ee690880b05bf7ce651 host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984309132357683 cella_engine: release id=00000000241d7630ac3d10bf7fc41c15 host='example.org' ip=10.77.0.1 port=443 direction=1
host_ns=1789984309133172774 cella_engine: release id=00000000241e746eb82f04df03445b0e host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984316624369198 cella_engine: release id=0000000041617715837ff62bbd861153 host='example.org' ip=10.77.0.1 port=443 direction=1
host_ns=1789984316625233881 cella_engine: release id=00000000416273e0b57f681f137b79c2 host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984316626117510 cella_engine: release id=0000000041627ea3b7348b17677a370a host='example.org' ip=10.77.0.1 port=443 direction=0
host_ns=1789984316914853719 cella_engine: bridge closed (CancelledError) -- cycle ended, awaiting reconnect
host_ns=1789984316914914914 cella_engine: 37 verdicts, avg 12334 ns, max 34535 ns
