host_ns=1789984256738912477 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984256739052629 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984256739147167 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984256739224392 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984259941854105 cella_engine: release id=000000000c8f717583b3d27a564f36f3 host='' ip= port=0 direction=0
host_ns=1789984260123011112 cella_engine: release id=000000000d4a799588caf32f0bf45f76 host='' ip= port=0 direction=1
host_ns=1789984260123924147 cella_engine: release id=000000000d4b798d9c0426be78181222 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984260128999406 cella_engine: release id=000000000d507166aec3c7c041c827f3 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984260129814847 cella_engine: release id=000000000d5179f8947e2610924f9e66 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984260135043907 cella_engine: release id=000000000d5771c988be7d9e232a7cab host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984260139956852 cella_engine: release id=000000000d5b7a6685441fb219d28665 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984260145464002 cella_engine: release id=000000000d6177f2888e3c4714cbe40f host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984260146332242 cella_engine: release id=000000000d62709a82bc29874bbffdf5 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984260149740432 cella_engine: release id=000000000d657c9e9648edcc8656d320 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984260155915908 cella_engine: release id=000000000d6b7a1cb69482bba8147408 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984260157945087 cella_engine: release id=000000000d6d7a7dab3c59d2efb42caa host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984260158565994 cella_engine: release id=000000000d6e7246b3ba21c394045ae6 host='example.com' ip=10.77.0.1 port=443 direction=0
