audit verb=start args=["verify-cella-env-www-x8c8tgb"] uid=1000 gid=1000 persona=cella-machine host_ns=1789984368722920123
audit verb=gateway args=["verify-cella-env-www-x8c8tgb", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789984368801677615
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984368809853477
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984368810054935
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984368810098838
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984368810140666
audit verb=release args=["000000000c7373c28464c3a61edfb38b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372013074019
audit verb=release args=["000000000ce87c619118db3e2337dc8c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372095430259
audit verb=release args=["000000000ce97f2a9a8f2999d4c6338a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372096326852
audit verb=release args=["000000000cee750a91c2daedbfe9145f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372101508011
audit verb=release args=["000000000cee75c28aaff6d9ded66a67"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372102160246
audit verb=release args=["000000000cf47731b643d6b4671d67dd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372107856471
audit verb=release args=["000000000cf97fefb8eb6e742a2c0809"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372112511983
audit verb=release args=["000000000cfe7d2fb0790920c9c9368b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372118226052
audit verb=release args=["000000000cff7b2587665c4cb91db69b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372118925416
audit verb=release args=["000000000d0275df96fc3a2e173fc1bb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372121817947
audit verb=release args=["000000000d077ea38928e52037d4d416"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372126556214
audit verb=release args=["000000000d09765481b3752a80f8f5ff"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372128583280
audit verb=release args=["000000000d0979fea6a5c616ce72aaad"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372129229353
audit verb=release args=["000000000d0f714eb0ddba81a139da9e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372134383411
audit verb=release args=["000000000d1572b3a689c06c2b557e16"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372141159835
audit verb=release args=["000000000d3f7b9c805ffe1b9c686817"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984372182996161
audit verb=release args=["0000000023f57fc196755f0af35e124e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984377996480003
audit verb=release args=["0000000023f67d53b6b61f55287064af"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984377997353482
audit verb=release args=["0000000023f77e089b78ff778704249b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984377998532377
audit verb=release args=["000000002410712aad44ac9c4129d2e6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378024117949
audit verb=release args=["0000000024167de799660b4d42d33783"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378029464848
audit verb=release args=["0000000024167312bc2aa5ff82b1a532"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378030136990
audit verb=release args=["00000000241c7857b3bbae69c4dfba3d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378035761301
audit verb=release args=["00000000241d77728c2a8761be8ed8a5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378036441067
audit verb=release args=["00000000242271f6a9d11615ae0069c5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378042002360
audit verb=release args=["0000000024237939963ca5713c1c2683"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378042618437
audit verb=release args=["0000000024287f7d90cb77cc319e12a3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378048226728
audit verb=release args=["00000000242b766b827d7c01ff40af93"] uid=1000 gid=1000 persona=cella-engine host_ns=1789984378050264894
