host_ns=1789984359680995724 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984359681149823 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984359681268185 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984359681353065 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789984359681541900 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984359681693143 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789984359682083316 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984359682191219 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789984359682282651 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984359682350718 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789984359682429576 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984359682511170 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789984359682577855 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984359682651313 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789984359682739418 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984359682815811 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789984359682916631 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984359683014385 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789984372090089390 cella_engine: release id=00000000303f78b1bb4f7945b57730f6 host='' ip= port=0 direction=1
host_ns=1789984372091307508 cella_engine: release id=00000000308b7d56969b3dc09ff409b7 host='' ip= port=0 direction=0
host_ns=1789984372098072841 cella_engine: release id=0000000030927f15894497929b641602 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372098796159 cella_engine: release id=0000000030937b658403d4ca89706187 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372104274626 cella_engine: release id=0000000030987ebf89396770cbf88d09 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372104942861 cella_engine: release id=0000000030997c4a9a4e7fabf955fb33 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372114585157 cella_engine: release id=0000000030a37b749cb3e3a4d311a8db host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372115174543 cella_engine: release id=0000000030a37dc4b6e96c6ed926b003 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372121019358 cella_engine: release id=0000000030a97aeda56e39a3b0659259 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372123146672 cella_engine: release id=0000000030ab7dfe9571a731fc88e974 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372123805889 cella_engine: release id=0000000030ac76e59c0d5a3f4a636d8d host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372125036741 cella_engine: release id=0000000030ad7febb95abd239b4f317a host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372131575368 cella_engine: release id=0000000030b47889b9f80e594ce0c8a9 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372137957433 cella_engine: release id=0000000030ba7e838699cfddcb9a2bf4 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372138711799 cella_engine: release id=0000000030bb711096c69b1ee889e105 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984372139102172 cella_engine: release id=0000000030bb7dd082b17dd8e16d890e host='' ip= port=0 direction=0
host_ns=1789984372139754957 cella_engine: release id=0000000030bc755899d940f80c8f8fe5 host='' ip= port=0 direction=1
host_ns=1789984372140392174 cella_engine: release id=0000000030bc7341a3352cf9548b4eee host='' ip=9.9.9.9 port=53 direction=0
host_ns=1789984372185646918 cella_engine: release id=0000000030ea78b288da4636dd72a78a host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984372214625161 cella_engine: release id=00000000310779b197d272f9accb610b host='' ip=9.9.9.9 port=53 direction=1
host_ns=1789984372219174112 cella_engine: release id=00000000310b7873b2468f63fbe8a863 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984372219271024 cella_engine: remember ip=172.66.147.243 port=443 skip_freeze=True keep_open=3600
host_ns=1789984377879934115 cella_engine: release id=0000000031557e1f84126511f995dc69 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377880756219 cella_engine: release id=0000000031567aa29a9ea472811dbcf7 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984377881855983 cella_engine: release id=00000000315777928428bff1f6ab9dc9 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377904533135 cella_engine: release id=00000000316e75919f3c112889d98862 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377905198844 cella_engine: release id=00000000316e789191943dc9e2f5ba12 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984377906635061 cella_engine: release id=000000003170730fbceca22462d2cecc host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377907219048 cella_engine: release id=0000000031707561a1eb9b1c213e3b81 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984377908794095 cella_engine: release id=00000000317270548d16122cb0482e65 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984377910808368 cella_engine: release id=0000000031747e9fadfd8583afbb49f9 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377911453358 cella_engine: release id=00000000317577869572a96dede44f99 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984377912906427 cella_engine: release id=00000000317679008099b1f3049e4477 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377991778915 cella_engine: release id=0000000031c576a6a1bef82893fb0426 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984377993372338 cella_engine: release id=0000000031c77c28a11b41fc25b2fa69 host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789984378000033986 cella_engine: release id=0000000031cd7ad4b3c71bb9efdaf919 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984378002253213 cella_engine: release id=0000000031cf7b82b6ab2e5f57413234 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789984378003598980 cella_engine: release id=0000000031d17bc3a42a8aacdecc05b0 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984378027088136 cella_engine: release id=0000000031e870139aa49012a384f1f1 host='' ip=10.77.0.2 port=50001 direction=1
host_ns=1789984378028120293 cella_engine: release id=0000000031e972feba5f1c335e0aa15f host='' ip=10.77.0.2 port=50001 direction=0
host_ns=1789984378033269792 cella_engine: release id=0000000031ee7c4cbceb619b46f06865 host='' ip=10.77.0.2 port=50001 direction=1
host_ns=1789984378034073171 cella_engine: release id=0000000031ef7b72b9d14bd7ac33e98c host='' ip=10.77.0.2 port=50001 direction=0
host_ns=1789984378039465546 cella_engine: release id=0000000031f57027af98e40298a646e8 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984378040516430 cella_engine: release id=0000000031f674c88b57d2c28b49343e host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984378045839464 cella_engine: release id=0000000031fb76ebb4c8048602f3489f host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984378046770964 cella_engine: release id=0000000031fc777eb54f419d5d0022e0 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984378047554605 cella_engine: release id=0000000031fd7aedae04f153bb0f7825 host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984378054133829 cella_engine: release id=0000000032037d729036f858e1159663 host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984378056213874 cella_engine: release id=0000000032057a3a852cf5a4f210556b host='' ip=10.77.0.2 port=50002 direction=1
host_ns=1789984378057049504 cella_engine: release id=0000000032067bce8fa992dc6230dfbc host='' ip=10.77.0.2 port=50002 direction=0
host_ns=1789984378057332375 cella_engine: release id=00000000320671e5b96c760de718b48e host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789984378077191224 cella_engine: release id=00000000321a72fdad188dca43d2d4fb host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789984378078101993 cella_engine: release id=00000000321b70d3989d506c2786d9fe host='example.com' ip=172.66.147.243 port=443 direction=0
