host_ns=1789984412202379612 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984412202507473 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984412202600217 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984412202703039 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984415605777930 cella_engine: release id=000000000d227eb4b40a0bf447442fc8 host='' ip= port=0 direction=0
host_ns=1789984415613585039 cella_engine: release id=000000000d657556b5bed18f7bf8590b host='' ip= port=0 direction=1
host_ns=1789984415614300623 cella_engine: release id=000000000d667f8f9dff40c4b3fb5447 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984415624012859 cella_engine: release id=000000000d6f736494245993af1093b3 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984415670999546 cella_engine: release id=000000000d9e746e8e78346705e16c37 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984415677814632 cella_engine: release id=000000000da57db48ca7198517c22d3e host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984415678633991 cella_engine: release id=000000000da67c919cec395fa4e54635 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984415684081519 cella_engine: release id=000000000dab7de7a76a55559c32f413 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984415689561840 cella_engine: release id=000000000db17307bbf45546f01c9b8c host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415696531056 cella_engine: release id=000000000db87094969697635958822f host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415697322502 cella_engine: release id=000000000db9759685d71a88dff53fd8 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415701184353 cella_engine: release id=000000000dbd7e0fbb26b0c9a7a31f6b host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415707021935 cella_engine: release id=000000000dc27e31a6586c73176d7f67 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415719572621 cella_engine: release id=000000000dcf72e3af0ed4bb2f7c9772 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415720651046 cella_engine: release id=000000000dd074cf9797c74c2724aea2 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415726377879 cella_engine: release id=000000000dd67c77bd5c1da95c1f98ba host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415731919104 cella_engine: release id=000000000ddb7d62ad9e7ad533172d98 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415733922676 cella_engine: release id=000000000ddd7a7b9d6e1c443d6764dc host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415775043959 cella_engine: release id=000000000e067d4f8f61f5a511e289ea host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415881363756 cella_engine: release id=000000000e717dc4ac313c1df650eb7a host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984415882547017 cella_engine: release id=000000000e727c4d9e2329817a7f1e1f host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415883683401 cella_engine: release id=000000000e737b189f53aa733950ee26 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984415911056499 cella_engine: release id=000000000e8e717597df9013d01893d0 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984415916204386 cella_engine: release id=000000000e9477b2a4492f29fd17c088 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984415917298861 cella_engine: release id=000000000e957fd08e1c1906a0056843 host='example.org' ip=10.77.0.1 port=53 direction=0
host_ns=1789984415922476924 cella_engine: release id=000000000e9a73f398bdcf2ed387f482 host='example.org' ip=10.77.0.1 port=53 direction=1
