host_ns=1789984368809713003 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789984368809856943 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789984368809953615 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789984368810040969 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789984372012829029 cella_engine: release id=000000000c7373c28464c3a61edfb38b host='' ip= port=0 direction=0
host_ns=1789984372095369696 cella_engine: release id=000000000ce87c619118db3e2337dc8c host='' ip= port=0 direction=1
host_ns=1789984372096278021 cella_engine: release id=000000000ce97f2a9a8f2999d4c6338a host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789984372101461083 cella_engine: release id=000000000cee750a91c2daedbfe9145f host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789984372102113488 cella_engine: release id=000000000cee75c28aaff6d9ded66a67 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789984372107766954 cella_engine: release id=000000000cf47731b643d6b4671d67dd host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789984372112431012 cella_engine: release id=000000000cf97fefb8eb6e742a2c0809 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984372118165809 cella_engine: release id=000000000cfe7d2fb0790920c9c9368b host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984372118823805 cella_engine: release id=000000000cff7b2587665c4cb91db69b host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984372121742786 cella_engine: release id=000000000d0275df96fc3a2e173fc1bb host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789984372126494599 cella_engine: release id=000000000d077ea38928e52037d4d416 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789984372128534709 cella_engine: release id=000000000d09765481b3752a80f8f5ff host='example.com' ip=10.77.0.1 port=443 direction=1
