audit verb=start args=["build-pmars-uksmkv9-verifier"] uid=1000 gid=1000 persona=cella-machine host_ns=1789996764818857824
audit verb=gateway args=["build-pmars-uksmkv9-verifier", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789996764897646632
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996764904589687
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996764904742554
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996764904795434
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996764904868070
audit verb=release args=["0000000010e87d2fb3f52421cab323ea"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769308207109
audit verb=release args=["0000000011f773b383158bec492bafb8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769489472748
audit verb=release args=["0000000011f979e3ac32b3c0e95f3da6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769490433602
audit verb=release args=["0000000012c07ae98d5b99bcb9581e4c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769689935221
audit verb=release args=["0000000012c37320a4796307535d9c2e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769692087972
audit verb=release args=["00000000138970d19f6c4bac5f009e46"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769890595995
audit verb=release args=["00000000138f75cab6fd2d5384182652"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996769896571033
audit verb=release args=["0000000014507fb79929f8228c8cf5be"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996770089433466
audit verb=release args=["0000000014517a2895f927387207eab1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996770090927441
audit verb=release args=["0000000015297be79f44e68093c97bfd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996770307005583
audit verb=release args=["000000003234781ea8841e94b974e8d0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996777741610434
audit verb=release args=["0000000032357716b24e30e48e419b42"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996777745055071
audit verb=release args=["00000000334d79cb90fa858f6a4b4f86"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778023298550
audit verb=release args=["00000000346477b4a7d8dcbb3ab4ca86"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778302267279
audit verb=release args=["000000003466752c98556ddbf17ce3ed"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778303835563
audit verb=release args=["0000000035827edab76b38f494631df6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778588344033
audit verb=release args=["00000000369279019e706e030e790a35"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778859635179
audit verb=release args=["00000000369472b5a28348aebb2d6ed3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996778861286239
audit verb=release args=["0000000037ad7b568ef00d3fc27dfdd1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996779143275569
audit verb=release args=["00000000399a7232ad40e19225843f5d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996779636066464
audit verb=release args=["0000000039a775aebbcb3ddafca11618"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996779648410891
audit verb=release args=["000000003ad47a2f8a6b5f2a949dbad3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996779949473471
audit verb=release args=["000000003ad5752b8a99d0e2f4ec321f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996779950337775
audit verb=release args=["0000000041cd7b41808a564f9ee0517a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996781735442154
audit verb=release args=["00000000427f7a25ad8a57dff27c3fd2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996781912854149
audit verb=release args=["00000000428174089ccca3e1c08acaf8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996781914432603
audit verb=release args=["0000000043527c1c8d8b1a56cbd80997"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996782124057397
audit verb=release args=["00000000435470368cfa4401783deab8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789996782125531325
