audit verb=start args=["build-pmars-uksmkv9"] uid=1000 gid=1000 persona=cella-machine host_ns=1789994176686396198
audit verb=gateway args=["build-pmars-uksmkv9", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789994176767378936
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994176774613279
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994176774759153
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994176774809978
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994176774883886
audit verb=release args=["000000000fbb7ef489eaa7362c487877"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994180978400110
audit verb=release args=["00000000114076188cc54012ab34fed6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181172634763
audit verb=release args=["00000000114170f98011bc15c4ff3028"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181173438112
audit verb=release args=["00000000114976e8bd9793024dacf74b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181180843096
audit verb=release args=["00000000114a72b292fd484788cf5ddf"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181181851420
audit verb=release args=["00000000115179d9a9a868508388d408"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181189206099
audit verb=release args=["0000000011767afc92448354dffe30f6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181226878875
audit verb=release args=["00000000117d7722bc9fbbef117b97de"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181233282348
audit verb=release args=["00000000117e7d3bb4c8c5f5979177d4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181234687416
audit verb=release args=["000000001183798b9027a54e4fbd0e8d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181239570745
audit verb=release args=["00000000123370d985e40f76480472cb"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181415979408
audit verb=release args=["0000000012397fc3a918c49f8e4b1167"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181420762419
audit verb=release args=["00000000123a755faf8bdc0e1610be3d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181421907889
audit verb=release args=["00000000123f79d3ad6be737772e04e8"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181426957010
audit verb=release args=["0000000012437f38b8171efa11bb1f4c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181431773954
audit verb=release args=["00000000124970efa3da7de5d86a48b2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181437388927
audit verb=release args=["00000000124a7068a70115893f490a9b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181438092298
audit verb=release args=["0000000012507b4b82dce94c05d546ce"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994181443728561
audit verb=release args=["0000000029a8784ab3a235d171e8deb3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187420331108
audit verb=release args=["0000000029a97cdd9d36e0f9188bdd2b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187421389965
audit verb=release args=["0000000029ac7e3992847fff565d34fe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187425017046
audit verb=release args=["0000000029ae76168378e364f01bc9f5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187426202642
audit verb=release args=["0000000029af7ffa82841a009ac563ad"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187426782401
audit verb=release args=["0000000029cd71889b48360113ba773a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187457600195
audit verb=release args=["0000000029cf73f6a2557e6fa71dea36"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187458847388
audit verb=release args=["0000000029d4714b9829ce15dfe2d422"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187464496295
audit verb=release args=["0000000029d5748b97ef98bfaf8416fe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187465415761
audit verb=release args=["0000000029db7d90bbc148c4047a9a06"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187470797816
audit verb=release args=["0000000029db7df09297c089792880de"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187471702074
audit verb=release args=["0000000029dd77bd976643ce9c538688"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187472775479
audit verb=release args=["0000000029dd7a19a0838dd1921aa9b1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187473326795
audit verb=release args=["0000000029e378f498b1bf58a1797fb4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187479121475
audit verb=release args=["0000000029e47b4588a67621844a326f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187479836878
audit verb=release args=["000000002a02737183b680d52303a082"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187510687916
audit verb=release args=["000000002a047b5fba5f610ca01d92fe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187511825211
audit verb=release args=["000000002a057cd8b733bbacfd953667"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187512648497
audit verb=release args=["000000002a057f8aad6e71ab48e4b158"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187513233836
audit verb=release args=["000000002a09715a97ea48a383735fde"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187516864012
audit verb=release args=["000000002a097aa39533cac4d55499d7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187517478776
audit verb=release args=["000000002a1170db981ab5b646fdc08b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187525480300
audit verb=release args=["000000002a1271448b610124923c4633"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187526510064
audit verb=release args=["000000002a147478a8e40af95cf3d799"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187527859046
audit verb=release args=["000000002a1b79ff9ab2cd1deba96c92"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187535494624
audit verb=release args=["000000002b50733fb18b847590609443"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187844789089
audit verb=release args=["000000002b527060a1e7b7141bd90295"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187845868795
audit verb=release args=["000000002b59762aa84d7b3f3d1450b7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994187853208788
audit verb=release args=["000000002c94791cab50d823c391ed88"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188168273687
audit verb=release args=["000000002c957efc97f434d7e03fbb03"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188169341201
audit verb=release args=["000000002c9a7313ae609bda9267791d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188174605085
audit verb=release args=["000000002dd47428a2969a3706a05387"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188487837744
audit verb=release args=["000000002dd67cd79b97a27638277480"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188490032044
audit verb=release args=["000000002ddb74999704fd28b1f02c92"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188494861703
audit verb=release args=["000000002df477999e828e8481d4ed6f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188519841896
audit verb=release args=["000000002df47584814e727407669840"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188520571086
audit verb=release args=["000000002df672d8ba123394ce3eb09f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188521880824
audit verb=release args=["000000002df67cef8d5ccc49d30c5f2f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188522516148
audit verb=release args=["000000002df874c0b6f4a0c125d3d888"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188524070746
audit verb=release args=["000000002df9748cb68b2dfd93ae8eac"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188524768647
audit verb=release args=["000000002dfa7bbd9fc59240c97da824"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188526127699
audit verb=release args=["000000002dfb7f60bd7a8aa03316a482"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188526765256
audit verb=release args=["000000002dfc756e8ab9fb02f704d263"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188528113628
audit verb=release args=["000000002dfd701c9648d83f0b672959"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188528752848
audit verb=release args=["000000002e02711a84194ac1fe87a933"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188534230854
audit verb=release args=["000000002e2771afbb85844b641836b1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188571755763
audit verb=release args=["000000002e29772498b2c3982b4a544f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188572876998
audit verb=release args=["000000002e2a7915a96e3c2c967eef46"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188573767710
audit verb=release args=["000000002e2a7be49acc5a7305c5bada"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188574507389
audit verb=release args=["000000002e2e7410b96e12552e70c932"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188577873690
audit verb=release args=["000000002e2f7b6c87d2017bed910ca4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188578682699
audit verb=release args=["000000002e30745faffada43cdf3388b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188579977048
audit verb=release args=["000000002e31795b9166bda829a83b79"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188580950196
audit verb=release args=["000000002e32718aa8c0f902aa4e66e1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188582020105
audit verb=release args=["000000002e34725a95de83cb98d95e0e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188584172696
audit verb=release args=["000000002e357b26985f59aba625cdf4"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188584886787
audit verb=release args=["000000002e367f6d9b0c5e93490e3174"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188586290804
audit verb=release args=["000000002e377c9fbdc73ceba975fe59"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188587061821
audit verb=release args=["000000002e3a7928bcda3b5c1deffbc7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188590454742
audit verb=release args=["000000002e3c78d3aaa7876b71120f9e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188592524128
audit verb=release args=["000000002e3d74e790caa0b172b73139"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188593294645
audit verb=release args=["000000002e3f7d4b8f0e85d6679c9c51"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188594632927
audit verb=release args=["000000002e3f7f5eb236cab4224cd0c6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188595468766
audit verb=release args=["000000002e457f94aab8181c35632996"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188600945160
audit verb=release args=["000000002e46799797ac69288b73f2ed"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188601886667
audit verb=release args=["000000002e47784bab0a2ccc321c1012"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188603001049
audit verb=release args=["000000002e4879619efd4bb0ffd6eb1d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188603822603
audit verb=release args=["000000002e4d7b44a58c4720792afb13"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188609173470
audit verb=release args=["000000002e4e7ca1b81118a8189615ec"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188610055385
audit verb=release args=["000000002e4f786693990b639518679e"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188611277029
audit verb=release args=["000000002e5072b5a8fd2ba2346d41e3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188612091548
audit verb=release args=["000000002e517a9983d649069c0c4570"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188613397761
audit verb=release args=["000000002e52742889dc9a9616078b72"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188614238550
audit verb=release args=["000000002e537e078ad58c76831238f9"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188615459291
audit verb=release args=["000000002e58745292770d074af42637"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188619637406
audit verb=release args=["000000002e5871c2b2bac590560ff87b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188620592240
audit verb=release args=["000000002e5a7b088ac842da2c73290c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188621747499
audit verb=release args=["000000002e5a7dc0a55a43872795dcdd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188622598076
audit verb=release args=["000000002e5c716aada3e23fab7497ab"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188623854525
audit verb=release args=["000000002e5d7187a9bffe6fb03aa82d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188624743524
audit verb=release args=["000000002e5e757c939c64035a2170aa"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188625904073
audit verb=release args=["000000002e5f77569875bac11209cf8d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188626694968
audit verb=release args=["000000002e607dd7b4b92d6903ddf490"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188627995309
audit verb=release args=["000000002e627cbeadeec8828de255b6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188630018539
audit verb=release args=["000000002e637f499df20bf612efe280"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188630789376
audit verb=release args=["000000002e647a5582bad5d5f49a37e2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188632169929
audit verb=release args=["000000002e657417a9449809495433e6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188632944122
audit verb=release args=["000000002e667acda6676b1723425157"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188634200120
audit verb=release args=["000000002e677cd1b8cff32c80d7551c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188634938016
audit verb=release args=["000000002e68741bbc1fbaaaa4e41c7d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188636294072
audit verb=release args=["000000002e69799c8a3c5e9c30b0ae2d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188637058338
audit verb=release args=["000000002e6a7e229fcf6ed10d86501a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188638445812
audit verb=release args=["000000002e6b7bd8809d1e881e48d90a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188639219976
audit verb=release args=["000000002e6c7e2e9ec2e1d09cbe6110"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188640470403
audit verb=release args=["000000002e717115b95b3f890ec974e0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188644770107
audit verb=release args=["000000002e7179d1a56119c9cee10342"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188645589746
audit verb=release args=["000000002e737331a3fe9d9a96f3c86f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188646678651
audit verb=release args=["000000002e737c6e8d3fb9eb9eac6b69"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188647560566
audit verb=release args=["000000002e757fbfbe191685350dab94"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188648834930
audit verb=release args=["000000002e7574c1815ebc4eaf406606"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188649599956
audit verb=release args=["000000002e777a3ca4d2249f8a08c1ea"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188650973354
audit verb=release args=["000000002e7873b69e71edb6685fa77f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188651817750
audit verb=release args=["000000002e7b71af953b3b8245dc57e5"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188655114309
audit verb=release args=["000000002e7c76109fc24896e740db05"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188656470246
audit verb=release args=["000000002e7f7454b749b70b3c859119"] uid=1000 gid=1000 persona=cella-engine host_ns=1789994188659453768
