host_ns=1789994158152180604 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789994158152362155 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789994158152472331 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789994158152809865 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789994158152907860 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789994158152999352 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789994158153071156 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789994158153149934 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789994158153215397 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789994158153304966 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789994158153390035 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789994158153446220 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789994158153479683 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789994158153505752 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789994158153574731 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789994158153617361 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789994158153644944 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789994158153713372 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789994181167606973 cella_engine: release id=00000000595075c38ee9a6f6bfe7ce1a host='' ip= port=0 direction=1
host_ns=1789994181168935908 cella_engine: release id=000000005a0d7532b565e20cd8ed8638 host='' ip= port=0 direction=0
host_ns=1789994181176567749 cella_engine: release id=000000005a15721eb5b0e18e6c1f6084 host='' ip=10.77.0.2 port=50007 direction=1
host_ns=1789994181177418726 cella_engine: release id=000000005a167ef99d8e468466b934d1 host='' ip=10.77.0.2 port=50007 direction=0
host_ns=1789994181184969474 cella_engine: release id=000000005a1d737db571f2395f213264 host='' ip=10.77.0.2 port=50007 direction=1
host_ns=1789994181185653949 cella_engine: release id=000000005a1e7ae0867120de4e0e3425 host='' ip=10.77.0.2 port=50007 direction=0
host_ns=1789994181229546033 cella_engine: release id=000000005a4a7f58946aa40b4f1b0522 host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789994181230512537 cella_engine: release id=000000005a4b7c37b2b87c260b89517f host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789994181235743980 cella_engine: release id=000000005a507652a73cf0764999061b host='' ip=10.77.0.2 port=50004 direction=1
host_ns=1789994181236703492 cella_engine: release id=000000005a517b15adb368600ed1d67e host='' ip=10.77.0.2 port=50004 direction=0
host_ns=1789994181417783064 cella_engine: release id=000000005b067ad299c6a327b1de7610 host='' ip=10.77.0.2 port=50003 direction=1
host_ns=1789994181418854576 cella_engine: release id=000000005b0774758a3c61ec444edc64 host='' ip=10.77.0.2 port=50003 direction=0
host_ns=1789994181423653918 cella_engine: release id=000000005b0c76b797f16ac0a261a90e host='' ip=10.77.0.2 port=50001 direction=1
host_ns=1789994181424425407 cella_engine: release id=000000005b0d70a49d88d5588748af94 host='' ip=10.77.0.2 port=50001 direction=0
host_ns=1789994181434866412 cella_engine: release id=000000005b177311aec44e69f73ee57e host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789994181435644102 cella_engine: release id=000000005b187028b0ed848db62881a0 host='' ip=10.77.0.2 port=50006 direction=0
