host_ns=1789996764904470884 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789996764904600517 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789996764904712207 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789996764904787769 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789996769308044803 cella_engine: release id=0000000010e87d2fb3f52421cab323ea host='' ip= port=0 direction=0
host_ns=1789996769489290125 cella_engine: release id=0000000011f773b383158bec492bafb8 host='' ip= port=0 direction=1
host_ns=1789996769490345958 cella_engine: release id=0000000011f979e3ac32b3c0e95f3da6 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789996769689796009 cella_engine: release id=0000000012c07ae98d5b99bcb9581e4c host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789996769692024583 cella_engine: release id=0000000012c37320a4796307535d9c2e host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789996769890456083 cella_engine: release id=00000000138970d19f6c4bac5f009e46 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789996769896452862 cella_engine: release id=00000000138f75cab6fd2d5384182652 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996770089309854 cella_engine: release id=0000000014507fb79929f8228c8cf5be host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996770090850808 cella_engine: release id=0000000014517a2895f927387207eab1 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996770306843268 cella_engine: release id=0000000015297be79f44e68093c97bfd host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996777741495348 cella_engine: release id=000000003234781ea8841e94b974e8d0 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996777744940447 cella_engine: release id=0000000032357716b24e30e48e419b42 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996778023149239 cella_engine: release id=00000000334d79cb90fa858f6a4b4f86 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996778302119952 cella_engine: release id=00000000346477b4a7d8dcbb3ab4ca86 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996778303764981 cella_engine: release id=000000003466752c98556ddbf17ce3ed host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996778588222896 cella_engine: release id=0000000035827edab76b38f494631df6 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996778859496297 cella_engine: release id=00000000369279019e706e030e790a35 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996778861192813 cella_engine: release id=00000000369472b5a28348aebb2d6ed3 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996779143131578 cella_engine: release id=0000000037ad7b568ef00d3fc27dfdd1 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996779635865567 cella_engine: release id=00000000399a7232ad40e19225843f5d host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996779648296947 cella_engine: release id=0000000039a775aebbcb3ddafca11618 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996779949346453 cella_engine: release id=000000003ad47a2f8a6b5f2a949dbad3 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996779950259888 cella_engine: release id=000000003ad5752b8a99d0e2f4ec321f host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996781735308113 cella_engine: release id=0000000041cd7b41808a564f9ee0517a host='deb.debian.org' ip=10.77.0.1 port=53 direction=0
host_ns=1789996781912699779 cella_engine: release id=00000000427f7a25ad8a57dff27c3fd2 host='deb.debian.org' ip=10.77.0.1 port=53 direction=1
host_ns=1789996781914342554 cella_engine: release id=00000000428174089ccca3e1c08acaf8 host='deb.debian.org' ip=10.77.0.1 port=53 direction=0
host_ns=1789996782123914269 cella_engine: release id=0000000043527c1c8d8b1a56cbd80997 host='deb.debian.org' ip=10.77.0.1 port=53 direction=1
host_ns=1789996782125459270 cella_engine: release id=00000000435470368cfa4401783deab8 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996782325364015 cella_engine: release id=00000000441c710896e3f4cd87604837 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996782326459692 cella_engine: release id=00000000441d7dee9a602244f3b52608 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996782562453094 cella_engine: release id=00000000450971a6b20cda16ce70c7b0 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996783323398134 cella_engine: release id=000000004801734da7ae6ab855de8048 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996783324531212 cella_engine: release id=000000004803705393ea7bd7cbbb8672 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996783655591234 cella_engine: release id=00000000494e75a386a41e713f88aea3 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996783657027069 cella_engine: release id=00000000495075c0a116290bf7cae8ca host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996783964232674 cella_engine: release id=000000004a82739a869c853ee3379e99 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996783965236459 cella_engine: release id=000000004a847df0b23dcb1eebb2c8d8 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996784237963629 cella_engine: release id=000000004b947a9ca8a56d26d2a27e09 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996784239224627 cella_engine: release id=000000004b967f33aafbc58db9201904 host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996784544990208 cella_engine: release id=000000004cc77cd2bb2d3432050f2401 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
host_ns=1789996784546482890 cella_engine: release id=000000004cc975c5beadd4dfa0ac147f host='deb.debian.org' ip=10.77.0.1 port=80 direction=0
host_ns=1789996784846405342 cella_engine: release id=000000004df57cc18f7fc999a9c68728 host='deb.debian.org' ip=10.77.0.1 port=80 direction=1
