host_ns=1789994176774498854 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789994176774619901 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789994176774728044 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789994176774808465 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789994180978270928 cella_engine: release id=000000000fbb7ef489eaa7362c487877 host='' ip= port=0 direction=0
host_ns=1789994181172555525 cella_engine: release id=00000000114076188cc54012ab34fed6 host='' ip= port=0 direction=1
host_ns=1789994181173376486 cella_engine: release id=00000000114170f98011bc15c4ff3028 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789994181180788343 cella_engine: release id=00000000114976e8bd9793024dacf74b host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789994181181793320 cella_engine: release id=00000000114a72b292fd484788cf5ddf host='debuerreotype' ip=10.77.0.1 port=53 direction=0
host_ns=1789994181189138261 cella_engine: release id=00000000115179d9a9a868508388d408 host='debuerreotype' ip=10.77.0.1 port=53 direction=1
host_ns=1789994181226729574 cella_engine: release id=0000000011767afc92448354dffe30f6 host='debuerreotype' ip=10.77.0.1 port=53 direction=0
host_ns=1789994181233208841 cella_engine: release id=00000000117d7722bc9fbbef117b97de host='debuerreotype' ip=10.77.0.1 port=53 direction=1
host_ns=1789994181234586697 cella_engine: release id=00000000117e7d3bb4c8c5f5979177d4 host='debuerreotype' ip=10.77.0.1 port=53 direction=0
host_ns=1789994181239486056 cella_engine: release id=000000001183798b9027a54e4fbd0e8d host='debuerreotype' ip=10.77.0.1 port=53 direction=1
host_ns=1789994181415800151 cella_engine: release id=00000000123370d985e40f76480472cb host='debuerreotype' ip=10.77.0.1 port=53 direction=0
host_ns=1789994181420694080 cella_engine: release id=0000000012397fc3a918c49f8e4b1167 host='debuerreotype' ip=10.77.0.1 port=53 direction=1
