audit verb=start args=["verify-cella-env-www-p5gmdhf"] uid=1000 gid=1000 persona=cella-machine host_ns=1789998427142434043
audit verb=gateway args=["verify-cella-env-www-p5gmdhf", "open"] uid=1000 gid=1000 persona=cella-gateway host_ns=1789998427220771692
audit verb=membrane-memory args=["0x0806", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998427227702715
audit verb=membrane-memory args=["10.77.0.1:443/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998427227844862
audit verb=membrane-memory args=["10.77.0.1:80/6", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998427227893513
audit verb=membrane-memory args=["10.77.0.1:53/17", "keep_open=86400s"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998427227943878
audit verb=release args=["000000000d1677cabf672e4a945be50c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430630898209
audit verb=release args=["000000000e2579ac8bbb5668a380d673"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430830833230
audit verb=release args=["000000000e2679cbbe4548ab8b4a6f89"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430831594881
audit verb=release args=["000000000e2b73a8af411ead18823b07"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430836876888
audit verb=release args=["000000000e2c77d5b6fff2422bdad0df"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430837741231
audit verb=release args=["000000000e317d1abae17a87b2061a2b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430843104902
audit verb=release args=["000000000e357a5bab1b6d8925353c6d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430847355142
audit verb=release args=["000000000e3c7d85970c32e6191b0cb1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430853579570
audit verb=release args=["000000000e3d7c9d8edcaf032f7662dc"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430854451557
audit verb=release args=["000000000e40798ab193ce263d722c89"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430857499349
audit verb=release args=["000000000e46710798544b42a0b217bf"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430863918833
audit verb=release args=["000000000e4877658f51bdfca0fd464c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430865973941
audit verb=release args=["000000000e497a208e6fd1594e1c88e0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430866595068
audit verb=release args=["000000000e4e76e8a9a3d13b727e0130"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430871713888
audit verb=release args=["000000000e5379d3b4b70166cdac1e6b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430876333182
audit verb=release args=["000000000e7c70c4ba168a33ea4cad04"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998430918049469
audit verb=release args=["00000000244178b9abc115182410b50a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436491444545
audit verb=release args=["0000000024427d729d3ea4f3b34add17"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436492188442
audit verb=release args=["00000000244471c68176990b7746725a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436493489554
audit verb=release args=["00000000245b7a4ebb6277c6c8e5cbb0"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436517189373
audit verb=release args=["0000000024607139925ed7bd96c0d65c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436522280222
audit verb=release args=["00000000246174d3b13502c4ccb7a577"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436523075556
audit verb=release args=["0000000024677fb89554f9125a7f55a2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436528508527
audit verb=release args=["000000002467764fb90394e546711851"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436529289553
audit verb=release args=["00000000246d7c83a8728b5ca7e4fa99"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436534795981
audit verb=release args=["00000000246e72f6a34f348e00b077b1"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436535464307
audit verb=release args=["0000000024737c45b8ed7032ea96653f"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436540959565
audit verb=release args=["00000000247579c7b7bcbfd2cae3959c"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436543004534
audit verb=release args=["0000000024767c56aa1f0a5eaf8ea00b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436543639257
audit verb=release args=["00000000247774c7a6061534809a2693"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436544824011
audit verb=release args=["00000000247e76d29b7b378bdf2e647b"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436551333674
audit verb=release args=["0000000024a779ba8b4a402ea6a3f2e2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436592722095
audit verb=release args=["000000002510708197056a91913c4af6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436698206775
audit verb=release args=["0000000025117bb7acd5392ca373cd45"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436699026003
audit verb=release args=["000000002529753c9af3044358c16e30"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436722996160
audit verb=release args=["00000000252f7394a9d465fa2e5b5d05"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436729583238
audit verb=release args=["0000000025307f30a23c3a351e6d0d28"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436730383330
audit verb=release args=["0000000025367f74b8a8aaf0a8c21cc6"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436735821601
audit verb=release args=["000000002537772d8f3d3f491968671d"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436736795349
audit verb=release args=["00000000253c7282b160e32fc49a8f95"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436741850060
audit verb=release args=["00000000253d73d289bff08c3496f5b3"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436742720855
audit verb=release args=["0000000025427c79adfe8b346c3c6afe"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436748086679
audit verb=release args=["0000000025437225b6a94905193476f7"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436749023569
audit verb=release args=["000000002544738fbb92e8be06f5012a"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436749939278
audit verb=release args=["00000000254b71d4bbb6a727208865fd"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436756419145
audit verb=release args=["0000000025747cdb918e715f3d618845"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436797730081
audit verb=release args=["0000000025e4711a9f2ec962f15c6056"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436909833989
audit verb=release args=["0000000025e576bca891ed9d155800e2"] uid=1000 gid=1000 persona=cella-engine host_ns=1789998436910707369
