host_ns=1789998418015939882 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789998418016081137 cella_engine: pre-plant ip=9.9.9.9 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789998418016184151 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789998418016447816 cella_engine: pre-plant ip=10.77.0.2 port=50000 ethertype=0x0800 keep_open=3600
host_ns=1789998418016610041 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789998418016723594 cella_engine: pre-plant ip=10.77.0.2 port=50001 ethertype=0x0800 keep_open=3600
host_ns=1789998418016830424 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789998418017020852 cella_engine: pre-plant ip=10.77.0.2 port=50002 ethertype=0x0800 keep_open=3600
host_ns=1789998418017142540 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789998418017303513 cella_engine: pre-plant ip=10.77.0.2 port=50003 ethertype=0x0800 keep_open=3600
host_ns=1789998418017418298 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789998418017515952 cella_engine: pre-plant ip=10.77.0.2 port=50004 ethertype=0x0800 keep_open=3600
host_ns=1789998418017657116 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789998418017879394 cella_engine: pre-plant ip=10.77.0.2 port=50005 ethertype=0x0800 keep_open=3600
host_ns=1789998418018044423 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789998418018159220 cella_engine: pre-plant ip=10.77.0.2 port=50006 ethertype=0x0800 keep_open=3600
host_ns=1789998418018463782 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789998418018656513 cella_engine: pre-plant ip=10.77.0.2 port=50007 ethertype=0x0800 keep_open=3600
host_ns=1789998430825765716 cella_engine: release id=00000000315b7778a746b97228e10184 host='' ip= port=0 direction=1
host_ns=1789998430826772996 cella_engine: release id=00000000321c77d38b2d09d4d00c0001 host='' ip= port=0 direction=0
host_ns=1789998430833057828 cella_engine: release id=00000000322377db9ed26c86e3c2216b host='' ip=10.77.0.2 port=50001 direction=1
host_ns=1789998430833787878 cella_engine: release id=0000000032237a28a50a46dcba1ccec9 host='' ip=10.77.0.2 port=50001 direction=0
host_ns=1789998430839265303 cella_engine: release id=0000000032297bcf9d7f8902a056d5b7 host='' ip=10.77.0.2 port=50001 direction=1
host_ns=1789998430840009630 cella_engine: release id=000000003229752b9d2fef94d9baa3a9 host='' ip=10.77.0.2 port=50001 direction=0
host_ns=1789998430849640413 cella_engine: release id=0000000032337858a5236e677b16ac08 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430850226904 cella_engine: release id=0000000032347d79a8e996918a7c3cf0 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998430856064896 cella_engine: release id=00000000323971999f0b5cbfa4c4cef8 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430860059046 cella_engine: release id=00000000323e7b38ba399e2fd03fcc07 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430860679270 cella_engine: release id=00000000323e7a1faa7c7f3dd0165a34 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998430861824851 cella_engine: release id=00000000323f74b991f719a4e9620920 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998430868531534 cella_engine: release id=0000000032467e3fb78112154977c6f4 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430872569656 cella_engine: release id=00000000324a73268aa013052a90135b host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430873349480 cella_engine: release id=00000000324b77a3906cf91dba211e8b host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998430874146927 cella_engine: release id=00000000324c7d0c861db427b9123f68 host='' ip= port=0 direction=0
host_ns=1789998430874612702 cella_engine: release id=00000000324c7fb2a35193e1f7a74a27 host='' ip= port=0 direction=1
host_ns=1789998430875246011 cella_engine: release id=00000000324d7f78896d62f9a0198e9b host='' ip=9.9.9.9 port=53 direction=0
host_ns=1789998430920467820 cella_engine: release id=00000000327a7c71a235f13b745d5678 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998430941171633 cella_engine: release id=00000000328f7f9fa3f09b70a32b75cc host='' ip=9.9.9.9 port=53 direction=1
host_ns=1789998430945803049 cella_engine: release id=0000000032937977a3c899629e06ad96 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998430945864225 cella_engine: remember ip=172.66.147.243 port=443 skip_freeze=True keep_open=3600
host_ns=1789998436379290563 cella_engine: release id=0000000032ec7fad851350bd7ae8eff7 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436380066429 cella_engine: release id=0000000032ed71a198232a35a168997e host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436381006644 cella_engine: release id=0000000032ee72eb9911f5cdf4dcb840 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436403960423 cella_engine: release id=0000000033057b90a229243045015f1f host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436404810820 cella_engine: release id=0000000033067947bb51a7e3fddba6b8 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436406042352 cella_engine: release id=00000000330776f1b56d641750c97a86 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436407273564 cella_engine: release id=0000000033097d8cb98424aefe321882 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436408066833 cella_engine: release id=0000000033097dc08abdea571af3d4bd host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436408772117 cella_engine: release id=00000000330a7d518cbbc5b47228c9b8 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436410150215 cella_engine: release id=00000000330b718dbe0535091539377d host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436487351259 cella_engine: release id=00000000335877828f3fd1be9a6e642d host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436488298256 cella_engine: release id=00000000335a7250b5b6fdf74ac88ed6 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998436491225032 cella_engine: release id=00000000335c7ade8a3a73618fd34e25 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436493318493 cella_engine: release id=00000000335f7d4487e91f75f6577354 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436495366388 cella_engine: release id=0000000033617b059d25a71f171201e1 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436496811532 cella_engine: release id=00000000336274b78859b3e60ef08548 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436518237792 cella_engine: release id=0000000033787185a4c0cb83e8c2db5d host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789998436518915064 cella_engine: release id=0000000033787f9daf3640c1461541e3 host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789998436524478680 cella_engine: release id=00000000337e7cdea91db18d2cbc134a host='' ip=10.77.0.2 port=50005 direction=1
host_ns=1789998436525123340 cella_engine: release id=00000000337e71a397bebbe34ffe2196 host='' ip=10.77.0.2 port=50005 direction=0
host_ns=1789998436530937447 cella_engine: release id=00000000338470e9b8f61a9896191970 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436531537654 cella_engine: release id=0000000033857c3da66618052983c90b host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998436537183505 cella_engine: release id=00000000338b7e279e1cc22c8bc264df host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436537967166 cella_engine: release id=00000000338b78d5b8e6c1603e169ff9 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998436539029611 cella_engine: release id=00000000338c7fb6bd9be100cd4ad2cf host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998436545644702 cella_engine: release id=0000000033937d2bb5d3d637a0b70cbb host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436547742019 cella_engine: release id=00000000339573fbbe2b8810d0b176f5 host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436548366131 cella_engine: release id=0000000033967a81ad39d5e21b496081 host='' ip=10.77.0.2 port=50006 direction=0
host_ns=1789998436548598999 cella_engine: release id=0000000033967f068d284bac50f3c9f5 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436576983253 cella_engine: release id=0000000033b272ff8e0da734b0299eca host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436577784247 cella_engine: release id=0000000033b372e7a1fdc8a6708cbf36 host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436578992466 cella_engine: release id=0000000033b4761990abe2f9cfc6ee32 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436595772302 cella_engine: release id=0000000033c579cdb241d2db7efc250c host='' ip=10.77.0.2 port=50006 direction=1
host_ns=1789998436599948794 cella_engine: release id=0000000033c97f688e80aaf9bcd558a9 host='example.com' ip=172.66.147.243 port=443 direction=1
host_ns=1789998436600994417 cella_engine: release id=0000000033ca76ef9579107333c3b85d host='example.com' ip=172.66.147.243 port=443 direction=0
host_ns=1789998436601969427 cella_engine: release id=0000000033cb72f0adf5662471e177c3 host='example.com' ip=172.66.147.243 port=443 direction=1
