host_ns=1789998470433341130 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789998470433477587 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789998470433571152 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789998470433648938 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789998473836397693 cella_engine: release id=000000000cca7a2b88a70776a1e9bf21 host='' ip= port=0 direction=0
host_ns=1789998473844779200 cella_engine: release id=000000000d6175958dc3ac5fb4609681 host='' ip= port=0 direction=1
host_ns=1789998473845689320 cella_engine: release id=000000000d6271faa3e05eb3420f2b08 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789998473852834876 cella_engine: release id=000000000d6a7795a5ea913e020ce6de host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789998473896574412 cella_engine: release id=000000000d957bd2a688e1db0d5a1024 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789998473902706516 cella_engine: release id=000000000d9b7936902c46cd94798915 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789998473903611575 cella_engine: release id=000000000d9c713985bf910d25f838d6 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789998473908980707 cella_engine: release id=000000000da27f7082e17becf32381fe host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789998473914089158 cella_engine: release id=000000000da779a5af279f0114a7c0d0 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998473919335389 cella_engine: release id=000000000dac70a49744b34c54d03284 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998473920187028 cella_engine: release id=000000000dad7f038bbefedd27cc8cae host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998473923410680 cella_engine: release id=000000000db07cda909bf91d65a3dca2 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998473929874797 cella_engine: release id=000000000db77a6e95445ef061ac66c3 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998473940232425 cella_engine: release id=000000000dc17c5eb23d1ab565783ad6 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998473941155569 cella_engine: release id=000000000dc27b6ba94fffa31ee41ddb host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998473946052243 cella_engine: release id=000000000dc777069b1938dffbc0e6c6 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998473952723699 cella_engine: release id=000000000dcd78a0ad8c81e1f5139a8b host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998473954573091 cella_engine: release id=000000000dcf736cb614786afea2e8b0 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998473996130801 cella_engine: release id=000000000df973538ad9a5af329e0f56 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998474083107590 cella_engine: release id=000000000e5078d8937ec55a0da5c8a3 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998474084065117 cella_engine: release id=000000000e517c9abda3770b9b753e95 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998474085018808 cella_engine: release id=000000000e527aac9342de33941b228f host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998474108523320 cella_engine: release id=000000000e6972c597f791121d340415 host='example.com' ip=10.77.0.1 port=53 direction=0
