host_ns=1789998427227568092 cella_engine: pre-plant ip= port=0 ethertype=0x0806 keep_open=86400
host_ns=1789998427227715920 cella_engine: pre-plant ip=10.77.0.1 port=443 ethertype=0x0800 keep_open=86400
host_ns=1789998427227812642 cella_engine: pre-plant ip=10.77.0.1 port=80 ethertype=0x0800 keep_open=86400
host_ns=1789998427227887993 cella_engine: pre-plant ip=10.77.0.1 port=53 ethertype=0x0800 keep_open=86400
host_ns=1789998430630738009 cella_engine: release id=000000000d1677cabf672e4a945be50c host='' ip= port=0 direction=0
host_ns=1789998430830746307 cella_engine: release id=000000000e2579ac8bbb5668a380d673 host='' ip= port=0 direction=1
host_ns=1789998430831533856 cella_engine: release id=000000000e2679cbbe4548ab8b4a6f89 host='' ip=10.77.0.1 port=53 direction=0
host_ns=1789998430836830351 cella_engine: release id=000000000e2b73a8af411ead18823b07 host='' ip=10.77.0.1 port=53 direction=1
host_ns=1789998430837649118 cella_engine: release id=000000000e2c77d5b6fff2422bdad0df host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789998430843058024 cella_engine: release id=000000000e317d1abae17a87b2061a2b host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789998430847274711 cella_engine: release id=000000000e357a5bab1b6d8925353c6d host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998430853520198 cella_engine: release id=000000000e3c7d85970c32e6191b0cb1 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998430854369553 cella_engine: release id=000000000e3d7c9d8edcaf032f7662dc host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998430857433957 cella_engine: release id=000000000e40798ab193ce263d722c89 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998430863871284 cella_engine: release id=000000000e46710798544b42a0b217bf host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998430865925590 cella_engine: release id=000000000e4877658f51bdfca0fd464c host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998430866512934 cella_engine: release id=000000000e497a208e6fd1594e1c88e0 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998430871637926 cella_engine: release id=000000000e4e76e8a9a3d13b727e0130 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998430876285552 cella_engine: release id=000000000e5379d3b4b70166cdac1e6b host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998430917943931 cella_engine: release id=000000000e7c70c4ba168a33ea4cad04 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998436491374934 cella_engine: release id=00000000244178b9abc115182410b50a host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998436492139951 cella_engine: release id=0000000024427d729d3ea4f3b34add17 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998436493430774 cella_engine: release id=00000000244471c68176990b7746725a host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998436517133819 cella_engine: release id=00000000245b7a4ebb6277c6c8e5cbb0 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789998436522231500 cella_engine: release id=0000000024607139925ed7bd96c0d65c host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789998436523027205 cella_engine: release id=00000000246174d3b13502c4ccb7a577 host='example.com' ip=10.77.0.1 port=53 direction=0
host_ns=1789998436528450428 cella_engine: release id=0000000024677fb89554f9125a7f55a2 host='example.com' ip=10.77.0.1 port=53 direction=1
host_ns=1789998436529232246 cella_engine: release id=000000002467764fb90394e546711851 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998436534721482 cella_engine: release id=00000000246d7c83a8728b5ca7e4fa99 host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998436535402140 cella_engine: release id=00000000246e72f6a34f348e00b077b1 host='example.com' ip=10.77.0.1 port=443 direction=0
host_ns=1789998436540912686 cella_engine: release id=0000000024737c45b8ed7032ea96653f host='example.com' ip=10.77.0.1 port=443 direction=1
host_ns=1789998436542957887 cella_engine: release id=00000000247579c7b7bcbfd2cae3959c host='example.com' ip=10.77.0.1 port=443 direction=1
